recv_time_ns,req_id,packet_id,total_pkts,t_emit_ns,src_node_id,L_in,L_out_expected,recv_node_id
356563670,0,0,2,314502733,64,555,0,12
357707668,0,1,2,314502733,64,555,0,12
517858832,1,0,2,475798826,64,632,0,12
519002830,1,1,2,475798826,64,632,0,12
577981195,2,0,2,535921540,64,539,0,12
579125192,2,1,2,535921540,64,539,0,12
612723409,3,0,2,570663946,64,483,0,12
613867404,3,1,2,570663946,64,483,0,12
652184397,4,0,2,610125163,64,547,0,12
653328394,4,1,2,610125163,64,547,0,12
710496845,5,0,1,668437944,64,348,0,12
976630493,6,0,2,934573115,64,381,0,12
977774490,6,1,2,934573115,64,381,0,12
1106265300,7,0,2,1064208663,64,411,0,12
1107409298,7,1,2,1064208663,64,411,0,12
1269485318,8,0,2,1227429608,64,509,0,12
1270629316,8,1,2,1227429608,64,509,0,12
1430781622,9,0,2,1388726824,64,530,0,12
1431925617,9,1,2,1388726824,64,530,0,12
1516316102,10,0,2,1474261790,64,570,0,12
1517460099,10,1,2,1474261790,64,570,0,12
1564683333,11,0,3,1522629293,64,715,0,12
1565827328,11,1,3,1522629293,64,715,0,12
1566971325,11,2,3,1522629293,64,715,0,12
1650349524,12,0,2,1608295970,64,570,0,12
1651493522,12,1,2,1608295970,64,570,0,12
1763791984,13,0,2,1721739066,64,433,0,12
1764935979,13,1,2,1721739066,64,433,0,12
1789637902,14,0,2,1747585129,64,560,0,12
1790781899,14,1,2,1747585129,64,560,0,12
1804452409,15,0,1,1762399720,64,337,0,12
2075496537,16,0,2,2033445369,64,440,0,12
2076640534,16,1,2,2033445369,64,440,0,12
2080798396,17,0,2,2038747255,64,592,0,12
2081942390,17,1,2,2038747255,64,592,0,12
2174753521,18,0,2,2132702906,64,604,0,12
2175897516,18,1,2,2132702906,64,604,0,12
2274506620,19,0,2,2232456563,64,393,0,12
2275650618,19,1,2,2232456563,64,393,0,12
2307998586,20,0,2,2265948722,64,431,0,12
2309142584,20,1,2,2265948722,64,431,0,12
2379613106,21,0,2,2337563633,64,540,0,12
2380757103,21,1,2,2337563633,64,540,0,12
2657274612,22,0,2,2615226681,64,579,0,12
2658418609,22,1,2,2615226681,64,579,0,12
2683734835,23,0,2,2641687048,64,632,0,12
2684878829,23,1,2,2641687048,64,632,0,12
2738234728,24,0,2,2696187246,64,530,0,12
2739378726,24,1,2,2696187246,64,530,0,12
2808586332,25,0,2,2766539236,64,409,0,12
2809730330,25,1,2,2766539236,64,409,0,12
2864816074,26,0,2,2822769289,64,468,0,12
2865960071,26,1,2,2822769289,64,468,0,12
2912402999,27,0,2,2870356476,64,381,0,12
2913546997,27,1,2,2870356476,64,381,0,12
2914690994,28,0,2,2871412292,64,408,0,12
2915834989,28,1,2,2871412292,64,408,0,12
2946878905,29,0,1,2904832572,64,346,0,12
2948182355,30,0,2,2906136030,64,557,0,12
2949326352,30,1,2,2906136030,64,557,0,12
2973419505,31,0,2,2931373318,64,613,0,12
2974563503,31,1,2,2931373318,64,613,0,12
3236952289,32,0,2,3194907554,64,449,0,12
3238096287,32,1,2,3194907554,64,449,0,12
3433579243,33,0,2,3391535575,64,522,0,12
3434723240,33,1,2,3391535575,64,522,0,12
3618428528,34,0,2,3576385867,64,472,0,12
3619572526,34,1,2,3576385867,64,472,0,12
3645679335,35,0,2,3603636820,64,454,0,12
3646823330,35,1,2,3603636820,64,454,0,12
3886828703,36,0,2,3844787497,64,515,0,12
3887972701,36,1,2,3844787497,64,515,0,12
3890285721,37,0,2,3848244534,64,399,0,12
3891429719,37,1,2,3848244534,64,399,0,12
3935707307,38,0,2,3893666362,64,570,0,12
3936851301,38,1,2,3893666362,64,570,0,12
4049995503,39,0,2,4007955183,64,602,0,12
4051139503,39,1,2,4007955183,64,602,0,12
4057036798,40,0,1,4014996516,64,341,0,12
4102617844,41,0,2,4060577800,64,400,0,12
4103761841,41,1,2,4060577800,64,400,0,12
4127311433,42,0,2,4085271523,64,470,0,12
4128455430,42,1,2,4085271523,64,470,0,12
4174854531,43,0,2,4132814877,64,583,0,12
4175998529,43,1,2,4132814877,64,583,0,12
4186976273,44,0,2,4144936690,64,693,0,12
4188120272,44,1,2,4144936690,64,693,0,12
4209462821,45,0,2,4167423352,64,434,0,12
4210606818,45,1,2,4167423352,64,434,0,12
4292127845,46,0,1,4250088821,64,317,0,12
4312621824,47,0,2,4270582909,64,446,0,12
4313765822,47,1,2,4270582909,64,446,0,12
4566924450,48,0,2,4524886902,64,594,0,12
4568068450,48,1,2,4524886902,64,594,0,12
4571129247,49,0,2,4529091715,64,541,0,12
4572273244,49,1,2,4529091715,64,541,0,12
4613092309,50,0,2,4571055002,64,554,0,12
4614236307,50,1,2,4571055002,64,554,0,12
4623581402,51,0,2,4581544148,64,471,0,12
4624725399,51,1,2,4581544148,64,471,0,12
4640352483,52,0,2,4598315319,64,536,0,12
4641496481,52,1,2,4598315319,64,536,0,12
4715977853,53,0,2,4673941099,64,491,0,12
4717121852,53,1,2,4673941099,64,491,0,12
4732245794,54,0,2,4690209120,64,435,0,12
4733389792,54,1,2,4690209120,64,435,0,12
4829137924,55,0,2,4787101765,64,524,0,12
4830281921,55,1,2,4787101765,64,524,0,12
4903910365,56,0,2,4861874607,64,474,0,12
4905054363,56,1,2,4861874607,64,474,0,12
