req_id,compute_sat_id,t_queue_enter_ns,t_compute_start_ns,t_compute_end_ns,T_compute_ns,T_queue_wait_ns,L_in,L_out
0,894,803677271,803677271,862577271,58900000,0,392,194
1,894,808790975,862577271,947427271,84850000,53786296,651,195
2,894,871272069,947427271,1007877271,60450000,76155202,415,179
3,894,911212281,1007877271,1071277271,63400000,96664990,426,216
4,894,961747448,1071277271,1135327271,64050000,109529823,416,249
5,894,1128682055,1135327271,1200227271,64900000,6645216,448,202
6,894,1414298373,1414298373,1477198373,62900000,0,437,184
7,894,1463836990,1477198373,1549648373,72450000,13361383,592,65
8,894,1483456682,1549648373,1614298373,64650000,66191691,422,249
9,894,1579078988,1614298373,1691148373,76850000,35219385,555,227
10,894,1629582908,1691148373,1757798373,66650000,61565465,465,203
11,894,1809496914,1809496914,1871546914,62050000,0,436,169
12,894,1866976206,1871546914,1922896914,51350000,4570708,315,197
13,894,1873155084,1922896914,2017996914,95100000,49741830,697,308
14,894,2056109429,2056109429,2127959429,71850000,0,519,199
15,894,2123650870,2127959429,2183359429,55400000,4308559,388,132
16,894,2192829240,2192829240,2263529240,70700000,0,529,156
17,894,2243085134,2263529240,2334279240,70750000,20444106,513,189
18,894,2319097439,2334279240,2389279240,55000000,15181801,381,138
19,894,2344200719,2389279240,2458029240,68750000,45078521,499,177
20,894,2382622949,2458029240,2516329240,58300000,75406291,413,140
21,894,2407988209,2516329240,2582479240,66150000,108341031,494,135
22,894,2476589855,2582479240,2654229240,71750000,105889385,528,179
23,894,2497988175,2654229240,2729129240,74900000,156241065,581,136
24,894,2634268335,2729129240,2794079240,64950000,94860905,428,243
25,894,2796338836,2796338836,2869188836,72850000,0,513,231
26,894,2866724016,2869188836,2915438836,46250000,2464820,265,195
27,894,2881461227,2915438836,2989838836,74400000,33977609,528,232
28,894,2936108821,2989838836,3071038836,81200000,53730015,612,200
29,894,3066403477,3071038836,3145288836,74250000,4635359,520,245
30,894,3202712143,3202712143,3263762143,61050000,0,448,125
31,894,3553319712,3553319712,3618319712,65000000,0,477,146
32,894,3738176547,3738176547,3789376547,51200000,0,351,122
33,894,3773175447,3789376547,3845326547,55950000,16201100,367,185
34,894,3775463447,3845326547,3917826547,72500000,69863100,541,168
35,894,4137462341,4137462341,4188212341,50750000,0,347,121
36,894,4205104856,4205104856,4285854856,80750000,0,588,239
37,894,4281861597,4285854856,4334054856,48200000,3993259,279,206
38,894,4327695480,4334054856,4411204856,77150000,6359376,491,361
39,894,4525904756,4525904756,4599554756,73650000,0,496,281
40,894,4600728006,4600728006,4673228006,72500000,0,568,114
41,894,4892905018,4892905018,4965555018,72650000,0,527,199
42,894,4899283300,4965555018,5025805018,60250000,66271718,425,155
43,894,4937115273,5025805018,5081405018,55600000,88689745,404,104
44,894,5006409582,5081405018,5157255018,75850000,74995436,551,215
45,894,5035961252,5157255018,5237655018,80400000,121293766,651,106
46,894,5054633961,5237655018,5321555018,83900000,183021057,630,218
47,894,5161512133,5321555018,5389055018,67500000,160042885,475,200
48,894,5178777064,5389055018,5461355018,72300000,210277954,541,164
49,894,5232649710,5461355018,5533955018,72600000,228705308,523,206
50,894,5383370409,5533955018,5617705018,83750000,150584609,635,205
51,894,5445512774,5617705018,5698555018,80850000,172192244,578,261
52,894,5454603134,5698555018,5759305018,60750000,243951884,395,225
53,894,5457994014,5759305018,5814355018,55050000,301311004,340,221
54,894,5514330734,5814355018,5877455018,63100000,300024284,441,180
55,894,5529234841,5877455018,5954655018,77200000,348220177,507,330
56,894,5641765520,5954655018,6018505018,63850000,312889498,452,173
57,894,5670427825,6018505018,6081005018,62500000,348077193,432,186
58,894,5819919889,6081005018,6143805018,62800000,261085129,417,222
59,894,6010806885,6143805018,6186255018,42450000,132998133,231,187
60,894,6106757958,6186255018,6252255018,66000000,79497060,483,154
61,894,6212003154,6252255018,6339205018,86950000,40251864,659,221
62,894,6312137754,6339205018,6397755018,58550000,27067264,381,209
63,894,6330867149,6397755018,6462005018,64250000,66887869,401,283
64,894,6497483175,6497483175,6561733175,64250000,0,448,189
65,894,6546564335,6561733175,6627733175,66000000,15168840,505,110
66,894,6553550428,6627733175,6697183175,69450000,74182747,494,201
67,894,6566003172,6697183175,6772483175,75300000,131180003,550,206
68,894,6568825720,6772483175,6846483175,74000000,203657455,531,218
69,894,6650770831,6846483175,6900733175,54250000,195712344,363,159
70,894,6693479249,6900733175,6985533175,84800000,207253926,639,218
71,894,6841046537,6985533175,7053783175,68250000,144486638,514,137
72,894,6882939375,7053783175,7127383175,73600000,170843800,562,148
73,894,6959351467,7127383175,7192733175,65350000,168031708,467,173
74,894,7167899738,7192733175,7247233175,54500000,24833437,385,120
75,894,7254754218,7254754218,7329054218,74300000,0,555,176
76,894,7291459782,7329054218,7395904218,66850000,37594436,466,205
77,894,7517946712,7517946712,7583146712,65200000,0,467,170
78,894,7520234712,7583146712,7649546712,66400000,62912000,448,232
79,894,7644171144,7649546712,7720046712,70500000,5375568,482,246
80,894,7720376855,7720376855,7794226855,73850000,0,516,245
81,894,7781619697,7794226855,7843826855,49600000,12607158,309,174
82,894,7879868987,7879868987,7952618987,72750000,0,529,197
83,894,8029454261,8029454261,8098804261,69350000,0,521,145
84,894,8073115980,8098804261,8171954261,73150000,25688281,542,179
85,894,8157758758,8171954261,8243354261,71400000,14195503,507,214
86,894,8296580378,8296580378,8373330378,76750000,0,568,199
87,894,8327248008,8373330378,8427280378,53950000,46082370,332,215
88,894,8449855771,8449855771,8495655771,45800000,0,260,196
89,894,8520546629,8520546629,8579196629,58650000,0,393,187
90,894,8581552343,8581552343,8635252343,53700000,0,306,262
91,894,8635498031,8635498031,8719098031,83600000,0,636,200
92,894,8770295375,8770295375,8839445375,69150000,0,493,197
93,894,9032662475,9032662475,9120362475,87700000,0,679,196
94,894,9242061009,9242061009,9302311009,60250000,0,416,173
95,894,9306690915,9306690915,9391990915,85300000,0,636,234
96,894,9379361184,9391990915,9471340915,79350000,12629731,637,113
97,894,9500406258,9500406258,9562606258,62200000,0,407,230
98,894,9748190705,9748190705,9816990705,68800000,0,501,174
99,894,9859012365,9859012365,9945562365,86550000,0,663,205
100,894,9898855665,9945562365,10016462365,70900000,46706700,497,224
101,894,10000881838,10016462365,10083112365,66650000,15580527,479,175
102,894,10154608777,10154608777,10214858777,60250000,0,413,179
103,894,10230995556,10230995556,10306995556,76000000,0,500,320
