req_id,gs_node_id,response_pkt_id,total_response_pkts,t_response_emit_ns,t_response_recv_ns,network_return_delay_ns,src_compute_sat_id,L_in,L_out
0,1584,0,1,862577271,949385228,86807957,894,392,194
1,1584,0,1,947427271,1034233570,86806299,894,651,195
2,1584,0,1,1007877271,1094682379,86805108,894,415,179
3,1584,0,1,1071277271,1158081150,86803879,894,426,216
4,1584,0,1,1135327271,1222129900,86802629,894,416,249
5,1584,0,1,1200227271,1287028630,86801359,894,448,202
6,1584,0,1,1477198373,1563994330,86795957,894,437,184
7,1584,0,1,1549648373,1636442906,86794533,894,592,65
8,1584,0,1,1614298373,1701091658,86793285,894,422,249
9,1584,0,1,1691148373,1777940158,86791785,894,555,227
10,1584,0,1,1757798373,1844588853,86790480,894,465,203
11,1584,0,1,1871546914,1958335191,86788277,894,436,169
12,1584,0,1,1922896914,2009684179,86787265,894,315,197
13,1584,0,1,2017996914,2104782328,86785414,894,697,308
14,1584,0,1,2127959429,2214742702,86783273,894,519,199
15,1584,0,1,2183359429,2270141630,86782201,894,388,132
16,1584,0,1,2263529240,2350309885,86780645,894,529,156
17,1584,0,1,2334279240,2421058501,86779261,894,513,189
18,1584,0,1,2389279240,2476057436,86778196,894,381,138
19,1584,0,1,2458029240,2544806091,86776851,894,499,177
20,1584,0,1,2516329240,2603104963,86775723,894,413,140
21,1584,0,1,2582479240,2669253681,86774441,894,494,135
22,1584,0,1,2654229240,2741002280,86773040,894,528,179
23,1584,0,1,2729129240,2815900825,86771585,894,581,136
24,1584,0,1,2794079240,2880849558,86770318,894,428,243
25,1584,0,1,2869188836,2955957699,86768863,894,513,231
26,1584,0,1,2915438836,3002206805,86767969,894,265,195
27,1584,0,1,2989838836,3076605348,86766512,894,528,232
28,1584,0,1,3071038836,3157803775,86764939,894,612,200
29,1584,0,1,3145288836,3232052340,86763504,894,520,245
30,1584,0,1,3263762143,3350523336,86761193,894,448,125
31,1584,0,1,3618319712,3705074038,86754326,894,477,146
32,1584,0,1,3789376547,3876127558,86751011,894,351,122
33,1584,0,1,3845326547,3932076476,86749929,894,367,185
34,1584,0,1,3917826547,4004575060,86748513,894,541,168
35,1584,0,1,4188212341,4274955627,86743286,894,347,121
36,1584,0,1,4285854856,4372596244,86741388,894,588,239
37,1584,0,1,4334054856,4420795317,86740461,894,279,206
38,1584,0,2,4411204856,4497943825,86738969,894,491,361
38,1584,1,2,4411204856,4499087805,87882949,894,491,361
39,1584,0,1,4599554756,4686290090,86735334,894,496,281
40,1584,0,1,4673228006,4759961910,86733904,894,568,114
41,1584,0,1,4965555018,5052283281,86728263,894,527,199
42,1584,0,1,5025805018,5112532103,86727085,894,425,155
43,1584,0,1,5081405018,5168131040,86726022,894,404,104
44,1584,0,1,5157255018,5243979574,86724556,894,551,215
45,1584,0,1,5237655018,5324378011,86722993,894,651,106
46,1584,0,1,5321555018,5408276409,86721391,894,630,218
47,1584,0,1,5389055018,5475775097,86720079,894,475,200
48,1584,0,1,5461355018,5548073708,86718690,894,541,164
49,1584,0,1,5533955018,5620672301,86717283,894,523,206
50,1584,0,1,5617705018,5704420681,86715663,894,635,205
51,1584,0,1,5698555018,5785269142,86714124,894,578,261
52,1584,0,1,5759305018,5846017964,86712946,894,395,225
53,1584,0,1,5814355018,5901066907,86711889,894,340,221
54,1584,0,1,5877455018,5964165691,86710673,894,441,180
55,1584,0,1,5954655018,6041364190,86709172,894,507,330
56,1584,0,1,6018505018,6105212974,86707956,894,452,173
57,1584,0,1,6081005018,6167711764,86706746,894,432,186
58,1584,0,1,6143805018,6230510551,86705533,894,417,222
59,1584,0,1,6186255018,6272959742,86704724,894,231,187
60,1584,0,1,6252255018,6338958474,86703456,894,483,154
61,1584,0,1,6339205018,6425906796,86701778,894,659,221
62,1584,0,1,6397755018,6484455665,86700647,894,381,209
63,1584,0,1,6462005018,6548704432,86699414,894,401,283
64,1584,0,1,6561733175,6648430668,86697493,894,448,189
65,1584,0,1,6627733175,6714429400,86696225,894,505,110
66,1584,0,1,6697183175,6783878075,86694900,894,494,201
67,1584,0,1,6772483175,6859176634,86693459,894,550,206
68,1584,0,1,6846483175,6933175211,86692036,894,531,218
69,1584,0,1,6900733175,6987424156,86690981,894,363,159
70,1584,0,1,6985533175,7072222541,86689366,894,639,218
71,1584,0,1,7053783175,7140471217,86688042,894,514,137
72,1584,0,1,7127383175,7214069817,86686642,894,562,148
73,1584,0,1,7192733175,7279418549,86685374,894,467,173
74,1584,0,1,7247233175,7333917515,86684340,894,385,120
75,1584,0,1,7329054218,7415736984,86682766,894,555,176
76,1584,0,1,7395904218,7482585700,86681482,894,466,205
77,1584,0,1,7583146712,7669824610,86677898,894,467,170
78,1584,0,1,7649546712,7736223344,86676632,894,448,232
79,1584,0,1,7720046712,7806721984,86675272,894,482,246
80,1584,0,1,7794226855,7880900710,86673855,894,516,245
81,1584,0,1,7843826855,7930499752,86672897,894,309,174
82,1584,0,1,7952618987,8039289797,86670810,894,529,197
83,1584,0,1,8098804261,8185472280,86668019,894,521,145
84,1584,0,1,8171954261,8258620880,86666619,894,542,179
85,1584,0,1,8243354261,8330019524,86665263,894,507,214
86,1584,0,1,8373330378,8459993156,86662778,894,568,199
87,1584,0,1,8427280378,8513942120,86661742,894,332,215
88,1584,0,1,8495655771,8582316198,86660427,894,260,196
89,1584,0,1,8579196629,8665855467,86658838,894,393,187
90,1584,0,1,8635252343,8721910114,86657771,894,306,262
91,1584,0,1,8719098031,8805754197,86656166,894,636,200
92,1584,0,1,8839445375,8926099253,86653878,894,493,197
93,1584,0,1,9120362475,9207010989,86648514,894,679,196
94,1584,0,1,9302311009,9388956051,86645042,894,416,173
95,1584,0,1,9391990915,9478634244,86643329,894,636,234
96,1584,0,1,9471340915,9557982737,86641822,894,637,113
97,1584,0,1,9562606258,9649246328,86640070,894,407,230
98,1584,0,1,9816990705,9903625942,86635237,894,501,174
99,1584,0,1,9945562365,10032195166,86632801,894,663,205
100,1584,0,1,10016462365,10103093813,86631448,894,497,224
101,1584,0,1,10083112365,10169742541,86630176,894,479,175
102,1584,0,1,10214858777,10301486445,86627668,894,413,179
103,1584,0,1,10306995556,10393621475,86625919,894,500,320
