req_id,compute_sat_id,t_queue_enter_ns,t_compute_start_ns,t_compute_end_ns,T_compute_ns,T_queue_wait_ns,L_in,L_out
0,12,487691641,487691641,542851641,55160000,0,492,195
1,12,538850259,542851641,590691641,47840000,4001382,413,170
2,12,548177613,590691641,657011641,66320000,42514028,597,264
3,12,1091507917,1091507917,1146467917,54960000,0,523,128
4,12,1121235403,1146467917,1195907917,49440000,25232514,398,240
5,12,1655440828,1655440828,1711720828,56280000,0,513,181
6,12,1709055629,1711720828,1778120828,66400000,2665199,623,214
7,12,1941408956,1941408956,1988848956,47440000,0,406,174
8,12,2180135894,2180135894,2242135894,62000000,0,570,210
9,12,2189822304,2242135894,2295015894,52880000,52313590,471,180
10,12,2315527422,2315527422,2359487422,43960000,0,375,149
11,12,2332923685,2359487422,2413247422,53760000,26563737,461,222
12,12,2561727556,2561727556,2622007556,60280000,0,572,163
13,12,2987952808,2987952808,3045832808,57880000,0,526,195
14,12,3164427860,3164427860,3219387860,54960000,0,468,238
15,12,3228781022,3228781022,3284141022,55360000,0,504,176
16,12,3289817761,3289817761,3344737761,54920000,0,494,185
17,12,3497086888,3497086888,3548526888,51440000,0,442,202
