req_id,compute_sat_id,t_first_arrival_ns,t_last_arrival_ns,D_gather_ns,total_pkts_expected,total_pkts_received,src_node_id,L_in,L_out_expected,t_emit_ns
0,22,472284474,474572480,2288006,3,3,61,948,286,404276578
1,22,707733913,710021920,2288007,3,3,61,729,295,639725457
2,22,800322269,802610273,2288004,3,3,61,918,443,732313590
3,22,971783400,975215409,3432009,4,4,61,1151,326,903774312
4,22,1136476467,1137620469,1144002,2,2,61,685,330,1068466982
5,22,1180484524,1182772528,2288004,3,3,61,1021,275,1112474933
6,22,1524022062,1526310067,2288005,3,3,61,756,344,1456011638
7,22,1699124075,1701412081,2288006,3,3,61,719,328,1631113225
8,22,2132711755,2133855755,1144000,2,2,61,605,392,2064699840
9,22,2134999757,2136143765,1144008,2,2,61,649,366,2064848825
10,22,2330868452,2333156462,2288010,3,3,61,1043,352,2262856050
11,22,2407125934,2409413940,2288006,3,3,61,867,395,2339113338
12,22,2410557942,2412845944,2288002,3,3,61,813,285,2341824934
13,22,2824087424,2826375429,2288005,3,3,61,866,300,2756073787
14,22,3017314913,3019602919,2288006,3,3,61,830,402,2949300792
15,22,3036741629,3037885629,1144000,2,2,61,546,342,2968727459
16,22,3307675579,3309963582,2288003,3,3,61,921,251,3239660723
17,22,3404301322,3405445325,1144003,2,2,61,679,376,3336286219
