req_id,gs_node_id,response_pkt_id,total_response_pkts,t_response_emit_ns,t_response_recv_ns,network_return_delay_ns,src_compute_sat_id,L_in,L_out
0,64,0,1,542851641,584911331,42059690,12,492,195
1,64,0,1,590691641,632751056,42059415,12,413,170
2,64,0,1,657011641,699070675,42059034,12,597,264
3,64,0,1,1146467917,1188524156,42056239,12,523,128
4,64,0,1,1195907917,1237963877,42055960,12,398,240
5,64,0,1,1711720828,1753773872,42053044,12,513,181
6,64,0,1,1778120828,1820173503,42052675,12,623,214
7,64,0,1,1988848956,2030900446,42051490,12,406,174
8,64,0,1,2242135894,2284185973,42050079,12,570,210
9,64,0,1,2295015894,2337065673,42049779,12,471,180
10,64,0,1,2359487422,2401536843,42049421,12,375,149
11,64,0,1,2413247422,2455296542,42049120,12,461,222
12,64,0,1,2622007556,2664055521,42047965,12,572,163
13,64,0,1,3045832808,3087878442,42045634,12,526,195
14,64,0,1,3219387860,3261432540,42044680,12,468,238
15,64,0,1,3284141022,3326185353,42044331,12,504,176
16,64,0,1,3344737761,3386781759,42043998,12,494,185
17,64,0,1,3548526888,3590569775,42042887,12,442,202
