req_id,compute_sat_id,t_first_arrival_ns,t_last_arrival_ns,D_gather_ns,total_pkts_expected,total_pkts_received,src_node_id,L_in,L_out_expected,t_emit_ns
0,894,802533271,803677271,1144000,2,2,1584,392,194,715720844
1,894,807646974,808790975,1144001,2,2,1584,651,195,720834645
2,894,870128068,871272069,1144001,2,2,1584,415,179,783316968
3,894,910068281,911212281,1144000,2,2,1584,426,216,823257962
4,894,960603448,961747448,1144000,2,2,1584,416,249,873794108
5,894,1127538055,1128682055,1144000,2,2,1584,448,202,1040731973
6,894,1413154373,1414298373,1144000,2,2,1584,437,184,1326353876
7,894,1462692990,1463836990,1144000,2,2,1584,592,65,1375893448
8,894,1482312682,1483456682,1144000,2,2,1584,422,249,1395513529
9,894,1577934988,1579078988,1144000,2,2,1584,555,227,1491137710
10,894,1628438908,1629582908,1144000,2,2,1584,465,203,1541642606
11,894,1808352914,1809496914,1144000,2,2,1584,436,169,1721560122
12,894,1866976206,1866976206,0,1,1,1584,315,197,1780184562
13,894,1872011084,1873155084,1144000,2,2,1584,697,308,1785219538
14,894,2054965429,2056109429,1144000,2,2,1584,519,199,1968177449
15,894,2122506870,2123650870,1144000,2,2,1584,388,132,2035720194
16,894,2191685240,2192829240,1144000,2,2,1584,529,156,2104899909
17,894,2241941134,2243085134,1144000,2,2,1584,513,189,2155156795
18,894,2317953438,2319097439,1144001,2,2,1584,381,138,2231170581
19,894,2343056719,2344200719,1144000,2,2,1584,499,177,2256274346
20,894,2381478949,2382622949,1144000,2,2,1584,413,140,2294697317
21,894,2406844209,2407988209,1144000,2,2,1584,494,135,2320063084
22,894,2475445855,2476589855,1144000,2,2,1584,528,179,2388666051
23,894,2496844175,2497988175,1144000,2,2,1584,581,136,2410064798
24,894,2633124335,2634268335,1144000,2,2,1584,428,243,2546347605
25,894,2795194836,2796338836,1144000,2,2,1584,513,231,2708421257
26,894,2866724016,2866724016,0,1,1,1584,265,195,2779951816
27,894,2880317227,2881461227,1144000,2,2,1584,528,232,2793545299
28,894,2934964821,2936108821,1144000,2,2,1584,612,200,2848193962
29,894,3065259477,3066403477,1144000,2,2,1584,520,245,2978491143
30,894,3201568143,3202712143,1144000,2,2,1584,448,125,3114802451
31,894,3552175711,3553319712,1144001,2,2,1584,477,146,3465416831
32,894,3737032547,3738176547,1144000,2,2,1584,351,122,3650277255
33,894,3772031446,3773175447,1144001,2,2,1584,367,185,3685276835
34,894,3774319447,3775463447,1144000,2,2,1584,541,168,3685924281
35,894,4137462341,4137462341,0,1,1,1584,347,121,4050714800
36,894,4203960856,4205104856,1144000,2,2,1584,588,239,4117214613
37,894,4281861597,4281861597,0,1,1,1584,279,206,4195116864
38,894,4326551480,4327695480,1144000,2,2,1584,491,361,4239807600
39,894,4524760755,4525904756,1144001,2,2,1584,496,281,4438020726
40,894,4599584006,4600728006,1144000,2,2,1584,568,114,4512845408
41,894,4891761018,4892905018,1144000,2,2,1584,527,199,4805028084
42,894,4898139300,4899283300,1144000,2,2,1584,425,155,4811406481
43,894,4935971273,4937115273,1144000,2,2,1584,404,104,4849239188
44,894,5005265582,5006409582,1144000,2,2,1584,551,215,4918534832
45,894,5034817252,5035961252,1144000,2,2,1584,651,106,4948087081
46,894,5053489961,5054633961,1144000,2,2,1584,630,218,4966760137
47,894,5160368133,5161512133,1144000,2,2,1584,475,200,5073640376
48,894,5177633064,5178777064,1144000,2,2,1584,541,164,5090905636
49,894,5231505710,5232649710,1144000,2,2,1584,523,206,5144779324
50,894,5382226409,5383370409,1144000,2,2,1584,635,205,5295502939
51,894,5444368774,5445512774,1144000,2,2,1584,578,261,5357646498
52,894,5453459133,5454603134,1144001,2,2,1584,395,225,5366737032
53,894,5457994014,5457994014,0,1,1,1584,340,221,5371272009
54,894,5513186734,5514330734,1144000,2,2,1584,441,180,5426465789
55,894,5528090841,5529234841,1144000,2,2,1584,507,330,5441370187
56,894,5640621520,5641765520,1144000,2,2,1584,452,173,5553903027
57,894,5669283825,5670427825,1144000,2,2,1584,432,186,5582565892
58,894,5818775889,5819919889,1144000,2,2,1584,417,222,5732060845
59,894,6010806885,6010806885,0,1,1,1584,231,187,5924095541
60,894,6105613958,6106757958,1144000,2,2,1584,483,154,6018904426
61,894,6210859154,6212003154,1144000,2,2,1584,659,221,6124151662
62,894,6310993754,6312137754,1144000,2,2,1584,381,209,6224288187
63,894,6329723149,6330867149,1144000,2,2,1584,401,283,6243017948
64,894,6496339175,6497483175,1144000,2,2,1584,448,189,6409637167
65,894,6545420335,6546564335,1144000,2,2,1584,505,110,6458719270
66,894,6552406428,6553550428,1144000,2,2,1584,494,201,6465705497
67,894,6564859171,6566003172,1144001,2,2,1584,550,206,6478158491
68,894,6567681720,6568825720,1144000,2,2,1584,531,218,6480981078
