req_id,gs_node_id,response_pkt_id,total_response_pkts,t_response_emit_ns,t_response_recv_ns,network_return_delay_ns,src_compute_sat_id,L_in,L_out
0,101,0,2,896533903,896533903,0,-1,531,184
0,101,1,2,896533903,896533903,0,-1,531,184
1,101,0,2,1032063266,1032063266,0,-1,551,178
1,101,1,2,1032063266,1032063266,0,-1,551,178
2,101,0,2,1142886394,1142886394,0,-1,378,156
2,101,1,2,1142886394,1142886394,0,-1,378,156
3,101,0,2,1232550631,1232550631,0,-1,381,148
3,101,1,2,1232550631,1232550631,0,-1,381,148
4,101,0,2,1298422026,1298422026,0,-1,419,243
4,101,1,2,1298422026,1298422026,0,-1,419,243
5,101,0,2,1758239529,1758239529,0,-1,524,236
5,101,1,2,1758239529,1758239529,0,-1,524,236
6,101,0,2,1910363033,1910363033,0,-1,537,274
6,101,1,2,1910363033,1910363033,0,-1,537,274
7,101,0,2,2027932298,2027932298,0,-1,623,275
7,101,1,2,2027932298,2027932298,0,-1,623,275
8,101,0,2,2504681977,2504681977,0,-1,559,289
8,101,1,2,2504681977,2504681977,0,-1,559,289
9,101,0,2,3756741191,3756741191,0,-1,574,139
9,101,1,2,3756741191,3756741191,0,-1,574,139
10,101,0,2,4394638668,4394638668,0,-1,520,176
10,101,1,2,4394638668,4394638668,0,-1,520,176
11,101,0,2,5356491469,5356491469,0,-1,421,130
11,101,1,2,5356491469,5356491469,0,-1,421,130
12,101,0,2,6696312279,6696312279,0,-1,637,235
12,101,1,2,6696312279,6696312279,0,-1,637,235
13,101,0,2,7741974737,7741974737,0,-1,465,203
13,101,1,2,7741974737,7741974737,0,-1,465,203
14,101,0,2,8575535802,8575535802,0,-1,544,198
14,101,1,2,8575535802,8575535802,0,-1,544,198
15,101,0,2,8919891249,8919891249,0,-1,527,198
15,101,1,2,8919891249,8919891249,0,-1,527,198
16,101,0,2,9296617147,9296617147,0,-1,547,155
16,101,1,2,9296617147,9296617147,0,-1,547,155
17,101,0,2,10256260381,10256260381,0,-1,569,158
17,101,1,2,10256260381,10256260381,0,-1,569,158
18,101,0,2,11743366750,11743366750,0,-1,587,210
18,101,1,2,11743366750,11743366750,0,-1,587,210
19,101,0,2,12625870999,12625870999,0,-1,448,243
19,101,1,2,12625870999,12625870999,0,-1,448,243
20,101,0,2,13891056678,13891056678,0,-1,475,209
20,101,1,2,13891056678,13891056678,0,-1,475,209
21,101,0,2,13979549983,13979549983,0,-1,476,223
21,101,1,2,13979549983,13979549983,0,-1,476,223
22,101,0,2,14118827727,14118827727,0,-1,436,269
22,101,1,2,14118827727,14118827727,0,-1,436,269
23,101,0,2,14688822249,14688822249,0,-1,569,217
23,101,1,2,14688822249,14688822249,0,-1,569,217
24,101,0,2,15521000320,15521000320,0,-1,587,243
24,101,1,2,15521000320,15521000320,0,-1,587,243
25,101,0,2,16521440513,16521440513,0,-1,646,251
25,101,1,2,16521440513,16521440513,0,-1,646,251
26,101,0,2,17334232625,17334232625,0,-1,526,201
26,101,1,2,17334232625,17334232625,0,-1,526,201
27,101,0,2,17553410583,17553410583,0,-1,482,234
27,101,1,2,17553410583,17553410583,0,-1,482,234
28,101,0,2,17881000602,17881000602,0,-1,543,166
28,101,1,2,17881000602,17881000602,0,-1,543,166
29,101,0,2,18486323343,18486323343,0,-1,523,174
29,101,1,2,18486323343,18486323343,0,-1,523,174
30,101,0,2,19191275491,19191275491,0,-1,542,217
30,101,1,2,19191275491,19191275491,0,-1,542,217
31,101,0,2,19999670123,19999670123,0,-1,625,242
31,101,1,2,19999670123,19999670123,0,-1,625,242
32,101,0,2,20968078165,20968078165,0,-1,465,195
32,101,1,2,20968078165,20968078165,0,-1,465,195
33,101,0,2,21783011545,21783011545,0,-1,493,186
33,101,1,2,21783011545,21783011545,0,-1,493,186
34,101,0,2,22772429954,22772429954,0,-1,425,194
34,101,1,2,22772429954,22772429954,0,-1,425,194
35,101,0,2,22830427339,22830427339,0,-1,374,207
35,101,1,2,22830427339,22830427339,0,-1,374,207
36,101,0,2,23119283042,23119283042,0,-1,508,286
36,101,1,2,23119283042,23119283042,0,-1,508,286
37,101,0,2,23273543481,23273543481,0,-1,580,253
37,101,1,2,23273543481,23273543481,0,-1,580,253
38,101,0,2,24355332646,24355332646,0,-1,343,211
38,101,1,2,24355332646,24355332646,0,-1,343,211
39,101,0,2,24852026815,24852026815,0,-1,520,282
39,101,1,2,24852026815,24852026815,0,-1,520,282
40,101,0,2,25961780100,25961780100,0,-1,374,255
40,101,1,2,25961780100,25961780100,0,-1,374,255
41,101,0,2,26616353557,26616353557,0,-1,452,168
41,101,1,2,26616353557,26616353557,0,-1,452,168
42,101,0,2,27271329652,27271329652,0,-1,522,194
42,101,1,2,27271329652,27271329652,0,-1,522,194
43,101,0,2,27525723865,27525723865,0,-1,531,244
43,101,1,2,27525723865,27525723865,0,-1,531,244
44,101,0,2,29393310071,29393310071,0,-1,421,239
44,101,1,2,29393310071,29393310071,0,-1,421,239
45,101,0,2,29664226214,29664226214,0,-1,545,256
45,101,1,2,29664226214,29664226214,0,-1,545,256
46,101,0,2,29997293536,29997293536,0,-1,422,112
46,101,1,2,29997293536,29997293536,0,-1,422,112
