req_id,src_gs_idx,t_emit_ns,L_in,L_out
0,1,11957295,441,433
1,1,307274852,1868,202
2,1,391170823,1139,84
3,1,447509019,6349,781
4,1,498834013,2222,37
5,1,795381423,3673,124
6,1,1524501690,1154,105
7,1,1845187820,2840,407
8,1,1855228644,921,37
9,1,2087808117,1193,211
10,1,2385129997,2806,445
11,1,2460118158,138,18
12,1,2668365146,322,196
13,1,3098949598,2310,145
14,1,3610443528,193,13
15,1,3750255673,1224,125
16,1,3767918090,7211,10
17,1,4219842625,719,68
18,1,4235826897,4562,37
19,1,4332126517,1175,223
20,1,4732293783,1210,21
21,1,4770425900,4716,122
22,1,4828196936,475,194
23,1,4835533439,1118,886
24,1,4891569090,1033,20
25,1,5058513937,132,683
26,1,5308313796,342,198
27,1,5367289649,1881,851
28,1,5686671509,6749,55
29,1,5809903007,320,1
30,1,5845833338,314,1
31,1,5999295607,2246,946
32,1,6221892532,185,11
33,1,6292078696,1139,85
34,1,6342404812,1127,202
35,1,6378619250,381,209
36,1,6467023977,1066,124
37,1,6967435404,1156,59
38,1,7291329595,5903,10
39,1,7517393669,1182,240
40,1,7536388935,7872,592
41,1,7565160125,3545,144
42,1,7569770401,1474,287
43,1,7584804870,131,686
44,1,7847389060,3818,109
45,1,7865379554,529,197
46,1,8405788100,1635,217
47,1,8903866669,3486,202
48,1,9176192479,123,14
49,1,9551214577,3798,127
50,1,9847439940,686,76
51,1,9889205454,1836,7
52,1,10141852367,146,12
53,1,10797134205,4054,202
54,1,10827523927,5695,10
55,1,11154967269,1591,50
56,1,11307342762,6035,147
57,1,11792177107,470,135
58,1,11817937099,1172,79
59,1,11929010079,854,30
60,1,12213121266,239,4
61,1,12444887982,3851,119
62,1,12940837946,1285,212
63,1,13031946675,671,16
64,1,13078244578,2028,37
65,1,13265279584,294,26
66,1,13650401207,453,43
67,1,13666238907,1648,246
68,1,13706849107,1451,597
69,1,13931540938,1548,449
70,1,14250456646,8017,567
71,1,14374996600,1417,241
72,1,14935297006,1139,86
73,1,14978186237,1836,225
74,1,15210369687,2906,621
75,1,15409421255,1056,205
76,1,15456578221,1758,34
77,1,15482824644,74,2
78,1,15507807881,1140,828
79,1,15516085654,313,33
80,1,15688837428,746,8
81,1,15761423679,131,15
82,1,15938925273,715,75
83,1,16046985889,493,93
84,1,16245453985,283,196
85,1,16288889834,6731,10
86,1,16615652782,639,77
87,1,16625727977,540,11
88,1,16908813603,769,225
89,1,16916977450,787,296
90,1,17024581871,6792,143
91,1,17237574125,509,197
92,1,17355489637,2289,173
93,1,17413562973,1354,200
94,1,17745251103,1300,195
95,1,17797389127,1534,547
96,1,17994977368,3486,203
97,1,18136955217,4785,415
98,1,18361629955,6035,215
99,1,18517637984,586,207
100,1,18812572621,5820,250
101,1,18895762283,1434,212
102,1,19224489852,898,26
103,1,19395864533,1134,26
104,1,19736155711,519,13
105,1,19894758917,998,1
106,1,19961412480,1578,215
107,1,20212087690,767,206
108,1,20332023157,1201,26
109,1,20635085058,1164,32
110,1,20774826885,791,222
111,1,21067084217,2106,329
112,1,21081139648,1404,79
113,1,21217775661,2540,37
114,1,21250423044,1169,84
115,1,21361473630,143,10
116,1,21451355355,2454,108
117,1,21604800942,283,197
118,1,21964052834,1404,22
119,1,22055261699,157,274
120,1,22076977396,133,22
121,1,22134507360,320,483
122,1,22970348454,230,111
123,1,23356986518,247,19
124,1,23641070536,856,34
125,1,23786154605,1107,89
126,1,23810971425,386,16384
127,1,24316468393,1004,392
128,1,24354263508,386,600
129,1,24457954955,1671,220
130,1,24478918907,32029,523
131,1,24550810773,3660,400
132,1,24852274633,343,117
133,1,24909142877,2097,207
134,1,25080606406,259,946
135,1,25080788611,5887,10
136,1,25112202958,128,4
137,1,25153253777,691,44
138,1,25184094458,904,210
139,1,25426328949,1139,133
140,1,25610003210,597,417
141,1,25806462837,6729,10
142,1,26049014928,3863,308
143,1,26053720232,1948,222
144,1,26091015583,1089,208
145,1,26151787461,972,26
146,1,26611997510,5886,102
147,1,26715327822,179,10
148,1,27115530524,199,42
149,1,27632450047,1098,28
150,1,27656466388,217,34
151,1,27867200602,2569,380
152,1,28304376949,1123,5
153,1,28376600928,6430,10
154,1,28740373177,3851,107
155,1,29045828263,1139,101
156,1,29351776938,9814,13
157,1,29927326916,349,1
158,1,29934221077,2473,930
