req_id,src_gs_idx,t_emit_ns,L_in,L_out
0,3,135636531,1134,26
1,3,310291332,312,388
2,3,327022054,1017,240
3,3,334466559,1139,82
4,3,352536392,161,22
5,3,485500498,1574,44
6,3,617709435,9768,36
7,3,640056740,7280,284
8,3,733071965,1352,18
9,3,788701757,339,119
10,3,791836768,895,109
11,3,813694615,1726,28
12,3,838555261,1021,262
13,3,953824515,571,119
14,3,1202854243,386,598
15,3,1294480564,2171,1094
16,3,1520658835,250,35
17,3,1583520062,890,38
18,3,1644654939,346,216
19,3,1742943424,1107,112
20,3,1883344685,250,14
21,3,1971949699,990,65
22,3,2093819211,35900,40
23,3,2099616929,921,46
24,3,2144889972,770,5
25,3,2147118011,386,678
26,3,2173978607,1816,27
27,3,2248487009,2714,316
28,3,2290444721,1750,25
29,3,2339028983,826,25
30,3,2417865359,514,111
31,3,2427453888,3467,917
32,3,2601321811,369,80
33,3,2719369000,386,416
34,3,2811872593,248,43
35,3,2927184113,801,8
36,3,2978583152,112,21
37,3,3085519790,1782,39
38,3,3324996687,14451,145
39,3,3330421047,2443,18
40,3,3454212504,1028,1
41,3,3531627298,34827,53
42,3,3553939703,1011,26
43,3,3691167461,1095,295
44,3,3721948525,248,45
45,3,3765294819,1070,1
46,3,3859467884,1251,18
47,3,3916976055,386,600
48,3,4054564633,4180,117
49,3,4126582017,298,625
50,3,4131646931,312,961
51,3,4141987866,1139,99
52,3,4400577865,386,145
53,3,4509399668,71,3
54,3,4694038621,691,52
55,3,4858794475,1749,32
56,3,5027576850,346,37
57,3,5095007599,921,30
58,3,5148954482,1047,64
59,3,5242697243,921,35
60,3,5276855466,247,46
61,3,5307309469,22866,96
62,3,5734660647,918,26
63,3,5859898103,1322,55
64,3,5864310775,895,38
65,3,5872583675,1105,26
66,3,6033809551,1660,172
67,3,6090468941,386,899
68,3,6123128304,4785,359
69,3,6184797107,4785,341
70,3,6303200759,921,24
71,3,6303931554,895,24
72,3,6345251673,1796,28
73,3,6432735687,514,503
74,3,6516456960,1009,208
75,3,6616775115,895,21
76,3,6649943556,779,146
77,3,6773213894,386,490
78,3,7016329633,2813,267
79,3,7063712244,1139,105
80,3,7147852629,3773,127
81,3,7240280654,895,22
82,3,7387747685,1173,30
83,3,8020037791,34744,174
84,3,8028517705,1613,298
85,3,8061069355,882,54
86,3,8169174967,1786,29
87,3,8229857772,2260,13
88,3,8548250745,227,17
89,3,8859169620,895,105
90,3,8866013639,1199,1
91,3,8987132359,2276,827
92,3,9105252679,2270,29
93,3,9204868855,604,165
94,3,9325638192,1198,1
95,3,9482984267,3851,99
96,3,9611227375,265,51
97,3,9676574591,38569,499
98,3,9828402752,696,48
99,3,10037493987,358,1
100,3,10300914401,247,11
101,3,10323294187,14452,145
