req_id,compute_sat_id,src_node_id,t_queue_enter_ns,t_compute_start_ns,t_compute_end_ns,T_compute_ns,T_queue_wait_ns,L_in,L_out
0,3,103,381434854,381434854,518484854,137050000,0,1134,273
1,3,103,552795948,552795948,604845948,52050000,0,312,217
2,3,103,575451916,604845948,730345948,125500000,29394032,1017,276
3,3,103,580263468,730345948,863295948,132950000,150082480,1139,181
4,3,103,591654959,863295948,901395948,38100000,271640989,161,240
5,3,103,744305396,901395948,1079295948,177900000,157090552,1574,210
6,3,103,866980752,1079295948,1299145948,219850000,212315196,2000,197
7,3,103,888668524,1299145948,1515495948,216350000,410477424,2000,127
8,3,103,979515618,1515495948,1668495948,153000000,535980330,1352,156
9,3,103,1032172447,1668495948,1718895948,50400000,636323501,339,130
10,3,103,1036769697,1718895948,1821195948,102300000,682126251,895,56
11,3,103,1061414428,1821195948,2011445948,190250000,759781520,1726,153
12,3,103,1083887292,2011445948,2133045948,121600000,927558656,1021,190
13,3,103,1202257106,2133045948,2204295948,71250000,930788842,571,83
14,3,103,1446079282,2204295948,2265195948,60900000,758216666,386,246
15,3,103,1543035194,2265195948,2483895948,218700000,722160754,2000,174
16,3,103,1761668980,2483895948,2527495948,43600000,722226968,250,172
17,3,103,1828367898,2527495948,2634695948,107200000,699128050,890,164
18,3,103,1887713452,2634695948,2683695948,49000000,746982496,346,88
19,3,103,1995610903,2683695948,2816995948,133300000,688085045,1107,252
20,3,103,2124323211,2816995948,2863095948,46100000,692672737,250,222
21,3,103,2217083719,2863095948,2972795948,109700000,646012229,990,14
22,3,103,2342304223,2972795948,3189945948,217150000,630491725,2000,143
23,3,103,2346455762,3189945948,3297945948,108000000,843490186,921,118
24,3,103,2389304939,3297945948,3393045948,95100000,908641009,770,162
25,3,103,2390688937,3393045948,3450095948,57050000,1002357011,386,169
26,3,103,2421867850,3450095948,3655795948,205700000,1028228098,1816,282
27,3,103,2496958561,3655795948,3879695948,223900000,1158837387,2000,278
28,3,103,2538112620,3879695948,4070795948,191100000,1341583328,1750,122
29,3,103,2588134025,4070795948,4173945948,103150000,1482661923,826,211
30,3,103,2662178783,4173945948,4242695948,68750000,1511767165,514,147
31,3,103,2677106674,4242695948,4461795948,219100000,1565589274,2000,182
32,3,103,2844370713,4461795948,4510345948,48550000,1617425235,369,33
33,3,103,2964507887,4510345948,4564645948,54300000,1545838061,386,114
34,3,103,3052725638,4564645948,4608745948,44100000,1511920310,248,186
35,3,103,3171630341,4608745948,4709045948,100300000,1437115607,801,204
36,3,103,3216375353,4709045948,4733745948,24700000,1492670595,112,70
37,3,103,3341041939,4733745948,4941845948,208100000,1392704009,1782,398
38,3,103,3573374837,4941845948,5164345948,222500000,1368471111,2000,250
39,3,103,3580096432,5164345948,5385045948,220700000,1584249516,2000,214
40,3,103,3699339467,5385045948,5516295948,131250000,1685706481,1028,369
41,3,103,3782169941,5516295948,5735045948,218750000,1734126007,2000,175
42,3,103,3799003632,5735045948,5856945948,121900000,1936042316,1011,216
43,3,103,3949261500,5856945948,5992145948,135200000,1907684448,1095,314
44,3,103,3962722730,5992145948,6032895948,40750000,2029423218,248,119
45,3,103,4010572453,6032895948,6151945948,119050000,2022323495,1070,41
46,3,103,4108714550,6151945948,6297345948,145400000,2043231398,1251,206
47,3,103,4159965388,6297345948,6360445948,63100000,2137380560,386,290
48,3,103,4302879668,6360445948,6589145948,228700000,2057566280,2000,374
49,3,103,4368441238,6589145948,6647195948,58050000,2220704710,298,365
50,3,103,4373819320,6647195948,6701595948,54400000,2273376628,312,264
51,3,103,4387453761,6701595948,6833395948,131800000,2314142187,1139,158
52,3,103,4643525432,6833395948,6882045948,48650000,2189870516,386,1
53,3,103,4746141088,6882045948,6903145948,21100000,2135904860,71,80
54,3,103,4937980078,6903145948,6995445948,92300000,1965165870,691,264
55,3,103,5107184345,6995445948,7188445948,193000000,1888261603,1749,162
56,3,103,5271716499,7188445948,7248195948,59750000,1916729449,346,303
57,3,103,5339650521,7248195948,7358495948,110300000,1908545427,921,164
58,3,103,5394039178,7358495948,7480795948,122300000,1964456770,1047,152
59,3,103,5487327478,7480795948,7589445948,108650000,1993468470,921,131
60,3,103,5517473187,7589445948,7635445948,46000000,2071972761,247,226
61,3,103,5564020488,7635445948,7855645948,220200000,2071425460,2000,204
62,3,103,5979239003,7855645948,7965745948,110100000,1876406945,918,166
63,3,103,6105848121,7965745948,8125395948,159650000,1859897827,1322,349
64,3,103,6108904119,8125395948,8234095948,108700000,2016491829,895,184
65,3,103,6117791790,8234095948,8370295948,136200000,2116304158,1105,314
66,3,103,6286600461,8370295948,8549795948,179500000,2083695487,1660,70
67,3,103,6333271177,8549795948,8609195948,59400000,2216524771,386,216
68,3,103,6371265330,8609195948,8830495948,221300000,2237930618,2000,226
69,3,103,6433896862,8830495948,9060745948,230250000,2396599086,2000,405
70,3,103,6547739961,9060745948,9177395948,116650000,2513005987,921,291
71,3,103,6550795959,9177395948,9278295948,100900000,2626599989,895,28
72,3,103,6603209077,9278295948,9477495948,199200000,2675086871,1796,192
73,3,103,6675918201,9477495948,9547745948,70250000,2801577747,514,177
74,3,103,6769820436,9547745948,9663495948,115750000,2777925512,1009,97
75,3,103,6861204281,9663495948,9782395948,118900000,2802291667,895,388
76,3,103,6894045084,9782395948,9887095948,104700000,2888350864,779,336
77,3,103,7015957669,9887095948,9942295948,55200000,2871138279,386,132
78,3,103,7265776039,9942295948,10152895948,210600000,2676519909,2000,12
79,3,103,7308927192,10152895948,10290745948,137850000,2843968756,1139,279
80,3,103,7395902001,10290745948,10512595948,221850000,2894843947,2000,237
81,3,103,7484656531,10512595948,10621345948,108750000,3027939417,895,185
82,3,103,7634242931,10621345948,10748745948,127400000,2987103017,1173,2
83,3,103,8268012793,10748745948,10973395948,224650000,2480733155,2000,293
84,3,103,8275210398,10973395948,11164295948,190900000,2698185550,1613,392
85,3,103,8305333670,11164295948,11282195948,117900000,2858962278,882,394
86,3,103,8416452482,11282195948,11485195948,203000000,2865743466,1786,288
87,3,103,8478800536,11485195948,11702545948,217350000,3006395412,2000,147
88,3,103,8788140873,11702545948,11735295948,32750000,2914405075,227,1
89,3,103,9103407732,11735295948,11844445948,109150000,2631888216,895,193
90,3,103,9111313563,11844445948,11986295948,141850000,2733132385,1199,239
91,3,103,9238458983,11986295948,12206395948,220100000,2747836965,2000,202
92,3,103,9353617654,12206395948,12416445948,210050000,2852778294,2000,1
93,3,103,9448103283,12416445948,12504345948,87900000,2968342665,604,350
94,3,103,9574011039,12504345948,12646945948,142600000,2930334909,1198,256
95,3,103,9743754683,12646945948,12861595948,214650000,2903191265,2000,93
96,3,103,9851878614,12861595948,12913895948,52300000,3009717334,265,316
97,3,103,9924409113,12913895948,13131145948,217250000,2989486835,2000,145
98,3,103,10071922032,13131145948,13214445948,83300000,3059223916,696,74
99,3,103,10279870814,13214445948,13262695948,48250000,2934575134,358,49
100,3,103,10541104220,13262695948,13301745948,39050000,2721591728,247,87
101,3,103,10571074083,13301745948,13516195948,214450000,2730671865,2000,89
102,3,103,10573566051,13516195948,13562345948,46150000,2942629897,270,183
103,3,103,10766848677,13562345948,13770145948,207800000,2795497271,1919,118
104,3,103,10770323602,13770145948,13881395948,111250000,2999822346,895,235
