req_id,compute_sat_id,t_first_arrival_ns,t_last_arrival_ns,D_gather_ns,total_pkts_expected,total_pkts_received,src_node_id,L_in,L_out_expected,t_emit_ns
0,2,177146863,182678094,5531231,2,2,102,2000,0,21880772
1,2,183914908,189446139,5531231,2,2,102,2000,0,25850311
2,2,288126605,293657836,5531231,2,2,102,2000,0,124045270
3,2,319080953,320610549,1529596,2,2,102,790,0,163811757
4,2,438803957,444335172,5531215,2,2,102,2000,0,283532123
5,2,503352744,506042372,2689628,2,2,102,1139,0,348079517
6,2,551118227,558943845,7825618,2,2,102,2000,0,395843947
7,2,571445646,571445646,0,2,2,102,124,0,419610816
8,2,611495612,617026835,5531223,2,2,102,2000,0,453024395
9,2,676899847,682431078,5531231,2,2,102,2000,0,520485945
10,2,1299528445,1305059667,5531222,2,2,102,2000,0,1144237637
11,2,1380282994,1385814234,5531240,2,2,102,2000,0,1224990412
12,2,1513447370,1516184978,2737608,2,2,102,1154,0,1358151806
13,2,1547064256,1549144252,2079996,2,2,102,962,0,1391767951
14,2,2012273893,2014656322,2382429,2,2,102,1043,0,1856967211
15,2,2072103384,2077634615,5531231,2,2,102,2000,0,1916795347
16,2,2092432215,2093737819,1305604,2,2,102,720,0,1937123713
17,2,2151855987,2155801597,3945610,2,2,102,1518,0,1996546146
18,2,2160985860,2166563491,5577631,2,2,102,2000,0,2005675825
19,2,2183111145,2188642376,5531231,2,2,102,2000,0,2021717079
20,2,2459383272,2459464871,81599,2,2,102,351,0,2304066531
21,2,2649070912,2649070912,0,2,2,102,220,0,2495653827
22,2,2656088209,2656137807,49598,2,2,102,341,0,2500392538
23,2,2739532991,2739532991,0,2,2,102,145,0,2587313815
24,2,2754556036,2760087252,5531216,2,2,102,2000,0,2595622614
25,2,2779011506,2784585929,5574423,2,2,102,2000,0,2623687535
26,2,2785417926,2785417926,0,2,2,102,227,0,2625452875
27,2,3147918457,3149662461,1744004,2,2,102,857,0,2992586109
28,2,3180737048,3180805846,68798,2,2,102,347,0,3025403956
29,2,3289048386,3293990817,4942431,2,2,102,1816,0,3133712827
30,2,3385791561,3385791561,0,2,2,102,153,0,3233429703
31,2,3634380866,3634705664,324798,2,2,102,427,0,3479037422
32,2,3694422681,3697253109,2830428,2,2,102,1183,0,3539077865
33,2,3763650675,3765994669,2343994,2,2,102,686,0,3607632440
34,2,3975355483,3978045112,2689629,2,2,102,1139,0,3820004211
35,2,4083550482,4091376083,7825601,2,2,102,2000,0,3927743688
36,2,4130840707,4133463110,2622403,2,2,102,1118,0,3975485831
37,2,4526126541,4531657783,5531242,2,2,102,2000,0,4370762552
38,2,4603443319,4606427347,2984028,2,2,102,1231,0,4448077536
39,2,4951356426,4956887669,5531243,2,2,102,2000,0,4795982568
40,2,5010017895,5012806698,2788803,2,2,102,1170,0,4854642642
41,2,5151852730,5157383947,5531217,2,2,102,2000,0,4996474170
42,2,5176388838,5181500881,5112043,2,2,102,1869,0,5021009709
43,2,5182512080,5182512080,0,2,2,102,283,0,5026455985
44,2,5248080727,5251122329,3041602,2,2,102,1249,0,5092699913
45,2,5298167884,5303699127,5531243,2,2,102,2000,0,5142785909
46,2,5356647426,5359154638,2507212,2,2,102,1082,0,5192665705
47,2,6192587086,6194439890,1852804,2,2,102,891,0,6035938907
48,2,6225906854,6228015658,2108804,2,2,102,971,0,6070503003
49,2,6299979822,6300618220,638398,2,2,102,525,0,6143594492
50,2,6412927996,6412927996,0,2,2,102,283,0,6257940750
51,2,6626436687,6626908685,471998,2,2,102,473,0,6471023346
52,2,6772773148,6777776364,5003216,2,2,102,1835,0,6617356310
53,2,6806815422,6810789832,3974410,2,2,102,1527,0,6651397773
