req_id,src_gs_idx,t_emit_ns,L_in,L_out
0,5,430969178,855,31
1,5,550745772,1139,84
2,5,575293335,135,1
3,5,696365870,724,402
4,5,714965807,1962,1017
5,5,899427538,515,11
6,5,1174325439,155,4
7,5,1200346627,1139,77
8,5,1291221986,22898,98
9,5,1499001939,3136,136
10,5,1505239530,6935,53
11,5,1619244159,502,124
12,5,1802665645,31512,50
13,5,1869187256,3482,295
14,5,2192876169,35932,37
15,5,2276674257,2289,986
16,5,2314391335,4254,272
17,5,2450341375,1385,29
18,5,2548309706,460,229
19,5,2624835739,1139,95
20,5,2706811268,3208,68
21,5,2707455162,31512,53
22,5,2741612277,129,5
23,5,2865875078,966,60
24,5,3043307645,2592,27
25,5,3110851007,608,208
26,5,3120356192,699,76
27,5,3259932748,989,1
28,5,3274020143,761,8
29,5,3321338178,3934,287
30,5,3470016680,1297,203
31,5,3498297805,1803,127
32,5,3559865918,2585,401
33,5,3642710609,248,31
34,5,3715002765,1853,38
35,5,3748677836,700,76
36,5,4135724577,3848,122
37,5,4138124557,1265,90
38,5,4315202016,1027,16
39,5,4370987879,1017,28
40,5,4386485804,344,101
41,5,4464391376,4797,862
42,5,4523583095,4923,562
43,5,4568692314,9745,43
44,5,4574520128,304,18
45,5,4691901847,305,4
46,5,4753503054,1413,440
47,5,4836311003,1107,98
48,5,5064829749,943,434
49,5,5096467425,976,1
50,5,5238042484,921,42
51,5,5411284112,2187,330
52,5,5800254392,386,545
53,5,5828234649,4524,82
54,5,5876932703,35900,44
55,5,5881557588,1139,73
56,5,6137860988,973,68
57,5,6138798307,5381,155
58,5,6166032186,1107,26
59,5,6206822661,1795,124
60,5,6256007072,3062,15
61,5,6515138047,516,62
62,5,6647734969,3848,135
63,5,6648867124,8313,60
64,5,6721205787,1073,401
65,5,6761230648,1009,1
66,5,7045920080,1710,9
67,5,7051154997,2812,289
68,5,7443949719,470,105
69,5,7515927978,1447,257
70,5,7636502297,3026,1
71,5,7684223672,1267,510
72,5,7843239349,734,41
73,5,7875962396,476,105
74,5,8156827059,562,67
75,5,8287227055,3171,945
76,5,8395961861,960,228
77,5,8521690805,470,221
78,5,8818149432,152,3
79,5,8823919916,916,414
80,5,8928698176,2452,174
81,5,9032374799,1265,90
82,5,9173996384,1771,44
83,5,9213658002,4697,482
84,5,9349779097,3916,336
85,5,9513379968,858,36
86,5,9538121901,1423,34
87,5,9562050372,298,28
88,5,9575447490,1646,430
89,5,9747323233,978,1
90,5,9931169550,2900,14
91,5,9940731328,9762,16
92,5,10136810031,4134,234
93,5,10274018318,19186,6
94,5,10305032512,814,57
95,5,10479052355,1553,34
96,5,10598586823,1139,103
97,5,10811704325,35932,49
98,5,10920186484,1154,213
99,5,10997904626,2354,38
100,5,11224375074,373,108
101,5,11290129647,2253,39
