req_id,src_gs_idx,t_emit_ns,L_in,L_out
0,6,24770408,2871,401
1,6,52630826,900,128
2,6,58969455,352,193
3,6,128400012,657,5
4,6,215154243,594,12
5,6,238619342,7343,308
6,6,520070905,283,186
7,6,567791551,7726,141
8,6,586715567,6299,723
9,6,801150099,3849,118
10,6,840104168,1154,64
11,6,855087152,578,161
12,6,914466094,1248,200
13,6,1277542428,3915,312
14,6,1381932836,1796,28
15,6,1417412024,1139,67
16,6,1520484221,3486,189
17,6,1881228470,6634,37
18,6,2317310451,770,5
19,6,2387577333,1166,3232
20,6,2451313134,1945,127
21,6,2518591173,5774,155
22,6,2577242909,297,48
23,6,2637175837,2565,869
24,6,2804046974,98,1
25,6,2931816365,283,196
26,6,3068724703,1692,212
27,6,3158310402,750,52
28,6,3227455915,662,70
29,6,3389048181,2290,63
30,6,3507203826,1172,82
31,6,3952200838,551,206
32,6,4006157614,4156,376
33,6,4293255034,662,9
34,6,4545468655,833,210
35,6,4582096288,1139,92
36,6,4741747790,694,47
37,6,4924250411,121673,534
38,6,4976834928,12479,708
39,6,5102719182,3955,46
40,6,5140842963,364,210
41,6,5321149231,1396,210
42,6,5331424387,1177,192
43,6,5451252312,215,12
44,6,5461662630,502,80
45,6,5638537405,1462,217
46,6,5814647436,14126,4096
47,6,5911842461,1093,13
48,6,5981272583,1494,55
49,6,5995168332,1026,557
50,6,6012639868,6540,11
51,6,6014414656,5699,479
52,6,6103064798,244,31
53,6,6126230764,769,7
54,6,6153785479,1168,76
55,6,6356669897,362,68
56,6,6440788474,1421,77
57,6,6542380306,1139,86
58,6,6619144390,1295,29
59,6,6631535015,375,39
60,6,6635682424,4984,10
61,6,6925491677,3779,128
62,6,7060060487,3616,319
63,6,7140645432,3525,303
64,6,7213832286,1139,85
65,6,7242292305,341,362
66,6,7458341089,7815,94
67,6,7687613912,3486,195
68,6,7806616734,3845,128
69,6,7922357291,1770,30
70,6,7997424149,903,387
71,6,8328402165,283,196
72,6,8383618538,8439,826
73,6,8417513262,514,197
74,6,8548245338,1442,216
75,6,8779551925,1096,196
76,6,8888551370,540,1
77,6,8936235771,269,22
78,6,8998515110,1168,86
79,6,9014994695,455,90
80,6,9338972712,850,210
81,6,9554606848,1154,58
82,6,9783838012,1315,297
83,6,9786479725,4488,136
84,6,9832294085,1841,38
85,6,9927294937,3744,276
86,6,10005560775,1245,123
87,6,10083347870,1634,163
88,6,10106625673,4230,88
89,6,10154710755,481,1
90,6,10171807640,305,81
91,6,10176144493,429,59
92,6,10186902330,163,11
93,6,10231201288,1253,201
94,6,10280202455,853,41
95,6,10324005542,690,56
96,6,10493435742,217,13
97,6,10527271433,1865,210
98,6,10552777254,833,274
99,6,10603044214,3458,151
100,6,10625785863,11957,238
101,6,10629099529,1600,74
102,6,10891875195,1139,83
103,6,10909814875,4169,533
104,6,10912158486,1014,56
105,6,10981056972,1664,477
106,6,11095897856,1369,192
107,6,11128675569,1650,295
108,6,11155143412,5194,15
109,6,11162448683,633,207
110,6,11200480202,2087,447
111,6,11246803187,1225,209
112,6,11257424220,4752,173
113,6,11647501058,4234,171
114,6,11655689329,132,227
115,6,11839900265,299,19
116,6,11901372183,171,31
117,6,11915302763,3724,148
118,6,11918175082,3728,41
119,6,12003869774,1509,146
