req_id,src_gs_idx,t_emit_ns,L_in,L_out
0,7,411513366,2062,37
1,7,766072207,1176,269
2,7,811105137,7092,196
3,7,1239541653,1881,26
4,7,1343325247,125,5
5,7,1535811933,3177,74
6,7,1700199933,1679,114
7,7,1836086445,378,623
8,7,2215034727,584,153
9,7,2265206286,1409,23
10,7,2304880370,260,11
11,7,2418984177,6089,99
12,7,2877470997,13909,44
13,7,3094847765,770,6
14,7,3199565856,1096,784
15,7,3278435568,984,1
16,7,3475460989,1440,216
17,7,3541709506,1028,195
18,7,3623335016,3849,113
19,7,4090260613,773,575
20,7,4140593645,115,1
21,7,4285289429,1139,100
22,7,4426934770,364,209
23,7,4465680443,9701,69
24,7,4497857261,809,136
25,7,4506330708,142,13
26,7,4720042336,1251,28
27,7,4731155369,1525,535
28,7,4752135851,1125,596
29,7,5447791550,342,115
30,7,5505914124,330,86
31,7,6117375011,1206,181
32,7,6122847806,1170,79
33,7,6212920602,1345,4
34,7,6284951434,1056,87
35,7,6419197132,2127,160
36,7,6470872560,44,1
37,7,6566636665,64,3
38,7,6765031137,694,62
39,7,6795921697,2016,75
40,7,6921879426,365,297
41,7,7220149713,1115,87
42,7,7226453133,4008,10
43,7,7267603546,848,1
44,7,7357599457,33722,50
45,7,7438847602,980,1
46,7,7534405098,347,131
47,7,7645055640,321,336
48,7,7671880707,345,108
49,7,7841460891,790,371
50,7,8042268515,1011,341
51,7,8622024809,384,198
52,7,8875265118,691,9
53,7,8995245600,255,59
54,7,9215577538,247,6
55,7,9429832182,619,201
56,7,9648840105,1665,32
57,7,9797586524,996,1
58,7,9965947762,660,31
59,7,10017807476,1745,28
60,7,10533413067,2869,89
61,7,10549749263,3551,582
62,7,10755890263,483,210
63,7,10805732231,353,57
64,7,10901652078,833,102
65,7,11012059008,943,296
66,7,11070102538,1466,207
67,7,11383991301,1791,32
68,7,11484024900,736,351
69,7,11551872392,3554,450
70,7,11626826625,180,6
71,7,11647233891,3535,291
72,7,11695286194,5997,176
73,7,11853571680,1242,1194
74,7,12190966213,398,43
75,7,12533909697,451,49
76,7,12650727386,1657,85
77,7,12789172025,646,130
78,7,12840469314,347,152
79,7,13346779637,32617,41
80,7,13589053580,404,132
