req_id,src_gs_idx,t_emit_ns,L_in,L_out
0,8,168256069,17,13
1,8,217933971,921,22
2,8,718365114,2483,20
3,8,754459610,872,212
4,8,767787489,683,61
5,8,1323915886,6621,10
6,8,1558571313,1034,28
7,8,1674977724,4899,10
8,8,1780451509,9714,30
9,8,2018882067,283,186
10,8,2613110050,358,83
11,8,2730231846,1084,28
12,8,2770231125,139,19
13,8,2775362472,174,123
14,8,2786847851,7119,68
15,8,2858377653,819,210
16,8,2916380614,5051,418
17,8,2958747825,283,196
18,8,2972234340,1012,217
19,8,2980179502,649,80
20,8,3230233716,340,205
21,8,3284998992,10969,63
22,8,3348104902,510,64
23,8,3405696237,283,184
24,8,3457161167,4054,162
25,8,3613808333,4637,186
26,8,3673538241,404,129
27,8,3717787297,1783,23
28,8,3843884931,3519,1
29,8,4112688958,339,218
30,8,4307669740,2387,270
31,8,4481881977,1763,312
32,8,4486777797,659,50
33,8,4513472526,311,13
34,8,4727270567,227,10
35,8,4928341013,946,13
36,8,5030058573,155,19
37,8,5430629568,1540,43
38,8,5771141419,1813,30
39,8,6167627023,2403,8
40,8,6216547478,1389,132
41,8,6236293594,178,16
42,8,6823262814,991,208
43,8,6844966319,1604,220
44,8,6917238297,145,21
45,8,7101380082,260,520
46,8,7159912883,491,221
47,8,7175478211,1199,84
48,8,7308599878,557,1
49,8,7310176058,722,434
50,8,7449961139,918,216
51,8,7651304389,46,50
52,8,7679615718,283,196
53,8,7849798541,283,1
54,8,8062627074,146,5
55,8,8214287859,621,110
56,8,8322612280,438,181
57,8,8387542059,4026,39
58,8,8425116444,144,13
59,8,8489677914,648,63
60,8,8548167899,10725,485
61,8,8677160489,1386,24
62,8,8701724655,2267,36
63,8,8753582304,14476,138
64,8,9203191104,1135,26
65,8,9542446569,1321,23
66,8,9562746101,1769,204
67,8,9572649236,1986,206
68,8,9863013365,1265,89
69,8,10202108896,1131,79
70,8,10328273105,13811,6
71,8,10410012496,743,8
72,8,10794047650,1410,208
73,8,10807844914,1657,107
74,8,11234500738,2669,567
75,8,11885300344,1240,202
76,8,12015014729,615,71
77,8,12387339831,850,189
78,8,12488132525,6137,10
79,8,12497537300,7861,41
80,8,12786395013,629,203
81,8,12960456446,221,1
82,8,13142222680,1139,98
83,8,13364557946,666,39
84,8,13410794714,6818,415
85,8,13413862726,1130,207
86,8,13470109140,583,8
87,8,13642389159,1139,74
88,8,13701805106,386,554
89,8,13742790789,3996,376
90,8,13754221514,818,217
91,8,13951749223,544,197
92,8,13986726997,1138,208
93,8,14129108784,517,1
94,8,14437924181,590,184
95,8,14461897872,1707,192
96,8,14646267342,6271,48
97,8,14907965385,581,11
98,8,15329249076,273,791
99,8,15396467385,6935,68
100,8,15794877070,344,47
101,8,15860731520,192,20
102,8,16212283222,439,161
103,8,16285231729,782,281
104,8,16431248236,2174,149
105,8,16721211554,14409,169
106,8,16743099228,793,194
107,8,16746145908,283,192
108,8,16795405670,855,8
109,8,16934918386,1135,188
110,8,17067063653,779,8
111,8,17068099272,465,53
112,8,17134803787,1797,28
113,8,17321926404,254,158
114,8,17643559341,473,200
115,8,18277975281,4127,124
116,8,18335028556,283,196
117,8,18498468329,854,39
118,8,18708457595,4531,120
119,8,18813665214,827,203
120,8,18855640551,766,8
121,8,19515213662,892,149
122,8,19527754999,1139,93
123,8,19599879837,3174,2288
124,8,19642585244,4229,118
125,8,19892433454,297,23
126,8,20040919935,656,9
127,8,20414556829,457,226
128,8,20472964687,253,34
129,8,20506240782,13794,6
130,8,20693999406,4150,184
131,8,20716652925,1569,205
132,8,20934759120,283,200
133,8,20959032921,149,8
134,8,21213628646,1562,123
135,8,21302974358,760,85
136,8,21322762988,391,13
137,8,21521121859,418,195
138,8,21630245868,7664,136
139,8,21656785295,283,195
140,8,21705805638,3164,123
141,8,22017519694,344,178
142,8,22144432439,656,208
143,8,22245112909,3732,349
144,8,22358633434,2231,245
145,8,22585744638,521,229
146,8,22645586790,287,43
147,8,22981996729,1544,83
148,8,23045412846,568,1
149,8,23046096744,3054,48
150,8,23143485273,754,23
151,8,23183159000,647,14
152,8,23357736727,2029,219
153,8,23483923135,3023,131
154,8,23567939058,6014,900
155,8,23718332149,21427,92
156,8,23864261123,1020,28
157,8,23870335503,635,701
158,8,23893872774,302,33
159,8,23991811423,354,1
160,8,24145831917,203,1
161,8,24255928883,6399,193
162,8,24295612489,3673,415
163,8,24340182530,434,164
164,8,24536406246,2159,237
165,8,24726791363,1100,213
166,8,24732044235,1173,72
167,8,24743216079,5702,10
168,8,25149910835,1089,98
169,8,25173395155,9774,19
170,8,25348654830,5754,149
171,8,25373573609,4495,135
172,8,25551872174,131,10
173,8,25591935991,466,162
174,8,25778513004,670,51
175,8,25878591461,5966,36
176,8,25928515406,684,422
177,8,25936318427,1139,91
178,8,26084433652,390,111
179,8,26113590410,742,8
180,8,26142375498,794,8
181,8,26354326308,22898,166
182,8,26361895878,796,8
183,8,26441939845,1010,103
184,8,26541919254,318,205
185,8,26649871619,523,20
186,8,26914463366,571,14
187,8,26943333213,3851,73
188,8,26953465761,479,68
189,8,27152022212,3939,279
190,8,27184058437,1014,1
191,8,27375083952,660,9
192,8,27455179763,1092,213
193,8,27570783671,3850,159
194,8,27609467430,1781,8
195,8,27816214731,1034,225
196,8,27865823586,3012,302
197,8,28026083820,477,1146
198,8,28107461107,4005,526
199,8,28240035345,1422,90
200,8,28269050682,6491,165
201,8,28728829045,131,17
202,8,29069842231,6244,10
203,8,29223436832,814,133
204,8,29493909504,22866,61
205,8,29599816444,153,4
206,8,29687107266,3517,221
207,8,29725801225,5877,37
