req_id,src_gs_idx,t_emit_ns,L_in,L_out
0,9,125782444,3848,118
1,9,203375077,1760,27
2,9,213008709,1817,28
3,9,230619672,895,96
4,9,298460723,978,51
5,9,563138746,895,108
6,9,574831478,251,51
7,9,606446103,895,21
8,9,636021378,3356,161
9,9,848767549,260,47
10,9,888876080,344,158
11,9,926991115,1185,97
12,9,970827563,1244,27
13,9,981775751,1534,307
14,9,987624891,2364,178
15,9,1048476513,1985,346
16,9,1163939078,682,54
17,9,1177903330,742,8
18,9,1373695689,9600,21
19,9,1652890186,148,29
20,9,1726522926,746,126
21,9,2097854103,3983,946
22,9,2156634258,1139,74
23,9,2392242428,685,46
24,9,2760279962,895,90
25,9,2835227709,1242,26
26,9,3212723658,1026,206
27,9,3235253728,544,220
28,9,3236120650,386,173
29,9,3246561136,909,26
30,9,3284334080,1139,87
31,9,3285742390,8510,62
32,9,3622762531,716,20
33,9,3640579552,202,7
34,9,3991488155,310,1
35,9,4093201967,1184,44
36,9,4213482982,30407,45
37,9,4336602209,483,7
38,9,4356905686,3851,95
39,9,5019452414,3110,1049
40,9,5056513747,433,123
41,9,5165370257,895,84
42,9,5311991338,316,64
43,9,5397742512,853,36
44,9,5578104195,2215,345
45,9,5702012908,763,8
46,9,5755855519,895,28
47,9,6142792448,245,30
48,9,6206606789,250,30
49,9,6225402290,386,414
50,9,6288279063,1645,839
51,9,6353879414,2810,375
52,9,6583523840,1816,31
53,9,6869153322,505,135
54,9,6942031997,795,13
55,9,7022822785,1205,343
56,9,7079189731,895,42
57,9,7303492004,3848,137
58,9,7354711373,694,56
59,9,7404801815,895,28
60,9,7485873079,1475,473
61,9,7491272202,3085,351
62,9,7523494039,856,51
63,9,7548795969,3738,141
64,9,8031354522,3015,934
65,9,8037762552,718,47
66,9,8063512334,1154,61
67,9,8222957386,451,713
68,9,8318035176,371,114
69,9,8376358676,4554,165
70,9,8536147123,151,9
71,9,8606489534,597,219
72,9,8740643037,141,11
73,9,8998739018,694,45
74,9,9010672114,170,772
75,9,9092200620,3833,4
76,9,9182147536,1259,281
77,9,9212620918,853,36
78,9,9248980054,386,320
79,9,9329712056,662,346
80,9,9362466788,9738,27
81,9,9412318822,163,11
82,9,9611032391,106,71
83,9,9966437612,24882,41
84,9,9983584308,983,1
85,9,10057132059,1660,143
86,9,10113773398,194,843
87,9,10142999310,5429,117
88,9,10190494124,470,120
89,9,10469069330,3847,101
90,9,10504604230,1847,33
91,9,10518612845,5821,301
92,9,10768526683,814,50
93,9,11023877209,155,18
94,9,11150934528,1264,28
95,9,11256485489,386,476
96,9,11416591915,315,451
97,9,11434803900,895,93
98,9,11601580674,692,45
99,9,11720374166,644,70
100,9,11846347639,331,30
101,9,11854893686,384,13
102,9,12237273913,3728,148
103,9,12453207783,664,180
104,9,12565403306,386,839
105,9,12585571836,1169,84
106,9,12634345837,1323,88
107,9,12673163089,1139,91
108,9,12692497051,943,11
109,9,12768128090,470,140
110,9,12799846854,895,109
111,9,12812513149,1233,26
112,9,12865987818,386,588
113,9,12873871708,311,775
114,9,12910116936,701,64
115,9,13148510076,1080,23
116,9,13155728986,1633,66
117,9,13410893563,1773,25
118,9,13415696946,6043,142
119,9,13475175142,8655,868
120,9,13649374222,909,38
121,9,13827047678,70,9
122,9,13855090900,1127,26
123,9,13944950498,890,64
124,9,14156057170,1193,262
125,9,14328039468,410,124
126,9,14395096715,1406,28
127,9,14404068569,895,96
128,9,14444542889,2010,12
129,9,14656181487,260,61
130,9,14741662940,2171,934
131,9,14897653762,359,3
132,9,14958118996,3778,107
133,9,14970570798,1910,395
134,9,15059317122,2304,268
135,9,15164258229,895,21
136,9,15287408062,2400,12
137,9,15321234872,1659,8
138,9,15646784818,1325,107
139,9,15688262778,311,89
140,9,15698913659,399,55
141,9,15772602424,911,55
142,9,16181058123,644,50
143,9,16249225810,779,28
144,9,16264680892,386,268
145,9,16338378578,345,44
146,9,16578231747,197,25
147,9,16655578930,576,4
148,9,16865113588,2291,13
149,9,16915917016,644,57
150,9,16932763678,11753,90
151,9,16991051415,262,38
152,9,17119261963,2410,18
153,9,17172086440,1723,641
154,9,17371828918,519,29
155,9,17528121355,368,190
156,9,17531362099,1064,1
157,9,17576470342,35932,39
158,9,17617904358,247,11
159,9,17652504573,1874,31
160,9,17694866164,1817,31
161,9,17798125887,1008,17
162,9,18037246656,3014,283
163,9,18258702065,1820,230
164,9,18283458666,1139,87
165,9,18326909994,1830,510
166,9,18392541167,895,96
167,9,18433603115,767,8
168,9,18562554103,7248,128
169,9,18726677464,717,54
170,9,18974340868,5547,320
171,9,19344221207,6765,56
172,9,19460994854,1121,342
173,9,19553656568,879,2
174,9,19561929586,953,213
175,9,19592095662,971,1
176,9,19824839406,344,276
177,9,20017253494,2025,368
178,9,20060249359,247,36
179,9,20081538804,677,40
180,9,20212358797,5712,56
181,9,20390480271,386,1043
182,9,20471082534,720,18
183,9,20516770878,7303,61
184,9,20830794805,33722,47
185,9,20849097825,470,155
186,9,21397288148,4932,1
187,9,21669121395,481,211
188,9,21922533735,246,51
189,9,22136320976,580,20
190,9,22190536862,4648,88
191,9,22399715301,545,107
192,9,22400709539,664,198
193,9,22497976399,1798,32
194,9,22500468610,248,34
195,9,22512396865,2079,1066
196,9,22748759785,1013,61
197,9,22890165388,570,174
198,9,22987326364,749,19
