req_id,compute_sat_id,src_node_id,t_queue_enter_ns,t_compute_start_ns,t_compute_end_ns,T_compute_ns,T_queue_wait_ns,L_in,L_out
0,0,101,227451554,227451554,289401554,61950000,0,441,157
0,0,106,269809273,289401554,507701554,218300000,19592281,2000,166
0,0,102,273092470,507701554,727951554,220250000,234609084,2000,205
1,0,102,279814065,727951554,944451554,216500000,448137489,2000,130
0,0,103,281647969,944451554,1078301554,133850000,662803585,1134,209
1,0,106,290533221,1078301554,1190551554,112250000,787768333,900,245
2,0,106,295074586,1190551554,1244351554,53800000,895476968,352,172
0,0,109,337398778,1244351554,1458651554,214300000,906952776,2000,86
3,0,106,365519196,1458651554,1546401554,87750000,1093132358,657,241
2,0,102,372243990,1546401554,1760401554,214000000,1174157564,2000,80
3,0,102,407165882,1760401554,1854351554,93950000,1353235672,790,99
1,0,109,414630790,1854351554,2051851554,197500000,1439720764,1760,230
2,0,109,424817865,2051851554,2253401554,201550000,1627033689,1817,197
3,0,109,440940147,2253401554,2364551554,111150000,1812461407,895,233
0,0,100,443135346,2364551554,2552551554,188000000,1921416208,1688,184
1,0,103,453278407,2552551554,2605101554,52550000,2099273147,312,227
4,0,106,455940264,2605101554,2680951554,75850000,2149161290,594,129
2,0,103,472610235,2680951554,2807051554,126100000,2208341319,1017,288
5,0,106,480157526,2807051554,3024451554,217400000,2326894028,2000,148
3,0,103,480488126,3024451554,3156051554,131600000,2543963428,1139,154
4,0,103,493589408,3156051554,3192001554,35950000,2662462146,161,197
4,0,109,507707581,3192001554,3308001554,116000000,2684293973,978,164
1,0,101,527472590,3308001554,3515301554,207300000,2780528964,1868,210
4,0,102,541652899,3515301554,3735851554,220550000,2973648655,2000,211
5,0,102,592580470,3735851554,3869801554,133950000,3143271084,1139,201
2,0,101,608939241,3869801554,4001051554,131250000,3260862313,1139,147
0,0,107,631119351,4001051554,4217051554,216000000,3369932203,2000,120
5,0,103,632952812,4217051554,4393851554,176800000,3584098742,1574,188
6,0,102,649561294,4393851554,4618951554,225100000,3744290260,2000,302
7,0,102,656601123,4618951554,4647151554,28200000,3962350431,124,116
3,0,101,678729776,4647151554,4865451554,218300000,3968421778,2000,166
8,0,102,711096927,4865451554,5083451554,218000000,4154354627,2000,160
4,0,101,719431057,5083451554,5303151554,219700000,4364020497,2000,194
6,0,106,754802673,5303151554,5341501554,38350000,4548348881,283,1
6,0,103,766564248,5341501554,5561801554,220300000,4574937306,2000,206
9,0,102,767859378,5561801554,5779651554,217850000,4793942176,2000,157
5,0,109,772010282,5779651554,5886901554,107250000,5007641272,895,155
6,0,109,778937589,5886901554,5928651554,41750000,5107963965,251,133
7,0,103,788910896,5928651554,6148351554,219700000,5139740658,2000,194
1,0,100,800206218,6148351554,6372351554,224000000,5348145336,2000,280
7,0,109,817151855,6372351554,6478351554,106000000,5555199699,895,130
7,0,106,818094255,6478351554,6695201554,216850000,5660257299,2000,137
8,0,106,828227951,6695201554,6914751554,219550000,5866973603,2000,191
8,0,109,847628794,6914751554,7132851554,218100000,6067122760,2000,162
8,0,103,889396568,7132851554,7289201554,156350000,6243454986,1352,223
9,0,103,932020289,7289201554,7343551554,54350000,6357181265,339,209
10,0,103,937020818,7343551554,7454051554,110500000,6406530736,895,220
11,0,103,961666845,7454051554,7650201554,196150000,6492384709,1726,271
1,0,107,982873383,7650201554,7789051554,138850000,6667328171,1176,225
12,0,103,988777877,7789051554,7908751554,119700000,6800273677,1021,152
5,0,101,1015942635,7908751554,8125151554,216400000,6892808919,2000,128
2,0,107,1030625047,8125151554,8346701554,221550000,7094526507,2000,231
9,0,106,1042693057,8346701554,8567601554,220900000,7304008497,2000,218
9,0,109,1053070522,8567601554,8612951554,45350000,7514531032,260,187
2,0,100,1072967637,8612951554,8750801554,137850000,7539983917,1139,279
10,0,106,1079994645,8750801554,8888251554,137450000,7670806909,1154,241
3,0,100,1080988245,8888251554,8973051554,84800000,7807263309,636,224
11,0,106,1091856523,8973051554,9049701554,76650000,7881195031,578,177
10,0,109,1095007146,9049701554,9105351554,55650000,7954694408,344,225
13,0,103,1097923782,9105351554,9182801554,77450000,8007427772,571,207
11,0,109,1135899114,9182801554,9327351554,144550000,8046902440,1185,321
12,0,106,1153461477,9327351554,9467301554,139950000,8173890077,1248,103
12,0,109,1180150516,9467301554,9613651554,146350000,8287151038,1244,239
13,0,109,1197116595,9613651554,9787501554,173850000,8416534959,1534,209
14,0,109,1203838190,9787501554,10004851554,217350000,8583663364,2000,147
15,0,109,1260028812,10004851554,10221851554,217000000,8744822742,1985,170
4,0,100,1273256942,10221851554,10270701554,48850000,8948594612,283,211
14,0,103,1346354173,10270701554,10332501554,61800000,8924347381,386,264
16,0,109,1371147036,10332501554,10422501554,90000000,8961354518,682,236
17,0,109,1385346251,10422501554,10514401554,91900000,9037155303,742,154
10,0,102,1392024646,10514401554,10734951554,220550000,9122376908,2000,211
15,0,103,1443315434,10734951554,10953651554,218700000,9291636120,2000,174
3,0,107,1458638305,10953651554,11165001554,211350000,9495013249,1881,265
11,0,102,1472270343,11165001554,11387201554,222200000,9692731211,2000,244
5,0,100,1503949155,11387201554,11512301554,125100000,9883252399,1068,166
13,0,106,1519003840,11512301554,11732551554,220250000,9993297714,2000,205
6,0,100,1548310365,11732551554,11953451554,220900000,10184241189,2000,218
4,0,107,1553152470,11953451554,11984901554,31450000,10400299084,125,179
18,0,109,1585290480,11984901554,12203501554,218600000,10399611074,2000,172
12,0,102,1602628654,12203501554,12335001554,131500000,10600872900,1154,122
14,0,106,1623784253,12335001554,12534301554,199300000,10711217301,1796,194
13,0,102,1638175706,12534301554,12649701554,115400000,10896125848,962,184
15,0,106,1656021544,12649701554,12784801554,135100000,10993680010,1139,224
16,0,103,1662816611,12784801554,12829751554,44950000,11121984943,250,199
7,0,100,1667272523,12829751554,12977151554,147400000,11162479031,1321,106
8,0,100,1705657925,12977151554,13170951554,193800000,11271493629,1715,246
17,0,103,1728664804,13170951554,13280301554,109350000,11442286750,890,207
9,0,100,1729079806,13280301554,13317801554,37500000,11551221748,166,218
6,0,101,1742181362,13317801554,13452301554,134500000,11575620192,1154,182
5,0,107,1755260049,13452301554,13672901554,220600000,11697041505,2000,212
16,0,106,1768101972,13672901554,13888351554,215450000,11904799582,2000,109
18,0,103,1788013868,13888351554,13941751554,53400000,12100337686,346,176
19,0,109,1854670727,13941751554,13978001554,36250000,12087080827,148,229
19,0,103,1888821108,13978001554,14110351554,132350000,12089180446,1107,233
6,0,107,1918607790,14110351554,14299051554,188700000,12191743764,1679,216
20,0,109,1933969376,14299051554,14393551554,94500000,12365082178,746,198
20,0,103,2025491825,14393551554,14445001554,51450000,12368059729,250,329
10,0,100,2038225617,14445001554,14661051554,216050000,12406775937,2000,121
7,0,107,2050141673,14661051554,14718101554,57050000,12610909881,378,185
7,0,101,2066306995,14718101554,14935601554,217500000,12651794559,2000,150
8,0,101,2072079646,14935601554,15046101554,110500000,12863521908,921,168
14,0,102,2101099706,15046101554,15169451554,123350000,12945001848,1043,181
21,0,103,2117403049,15169451554,15289401554,119950000,13052048505,990,219
17,0,106,2122645547,15289401554,15511801554,222400000,13166756007,2000,248
15,0,102,2164072387,15511801554,15730301554,218500000,13347729167,2000,170
16,0,102,2180127318,15730301554,15824051554,93750000,13550174236,720,235
17,0,102,2242185537,15824051554,15995301554,171250000,13581866017,1518,189
22,0,103,2242630601,15995301554,16218851554,223550000,13752670953,2000,271
23,0,103,2245769825,16218851554,16332801554,113950000,13973081729,921,237
11,0,100,2248908581,16332801554,16509051554,176250000,14083892973,1578,169
18,0,102,2254439777,16509051554,16731501554,222450000,14254611777,2000,249
12,0,100,2268136824,16731501554,16775251554,43750000,14463364730,263,149
19,0,102,2271373622,16775251554,16993901554,218650000,14503877932,2000,173
24,0,103,2289634241,16993901554,17094301554,100400000,14704267313,770,268
25,0,103,2291018253,17094301554,17152251554,57950000,14803283301,386,187
9,0,101,2308986328,17152251554,17292401554,140150000,14843265226,1193,217
21,0,109,2317959121,17292401554,17518601554,226200000,14974442433,2000,324
13,0,100,2318901521,17518601554,17740701554,222100000,15199700033,2000,242
26,0,103,2322198862,17740701554,17946051554,205350000,15418502692,1816,275
22,0,109,2365374391,17946051554,18083401554,137350000,15580677163,1139,269
27,0,103,2397293864,18083401554,18301651554,218250000,15686107690,2000,165
8,0,107,2429711729,18301651554,18384451554,82800000,15871939825,584,288
28,0,103,2438450346,18384451554,18578001554,193550000,15946001208,1750,171
9,0,107,2482647942,18578001554,18739901554,161900000,16095353612,1409,220
29,0,103,2483946757,18739901554,18842351554,102450000,16255954797,826,197
10,0,107,2517204543,18842351554,18886301554,43950000,16325147011,260,159
20,0,102,2545820048,18886301554,18940601554,54300000,16340481506,351,184
18,0,106,2554630022,18940601554,19032151554,91550000,16385971532,770,91
30,0,103,2561739220,19032151554,19102251554,70100000,16470412334,514,174
31,0,103,2576255503,19102251554,19322301554,220050000,16525996051,2000,201
23,0,109,2599482702,19322301554,19409951554,87650000,16722818852,685,183
10,0,101,2606161097,19409951554,19633001554,223050000,16803790457,2000,261
19,0,106,2626202164,19633001554,19764801554,131800000,17006799390,1166,104
11,0,107,2638345061,19764801554,19985401554,220600000,17126456493,2000,212
11,0,101,2671088367,19985401554,20020901554,35500000,17314313187,138,234
20,0,106,2692512516,20020901554,20237801554,216900000,17328389038,1945,248
14,0,100,2707535937,20237801554,20374101554,136300000,17530265617,1139,248
21,0,102,2734646568,20374101554,20417151554,43050000,17639454986,220,221
22,0,102,2742442234,20417151554,20466951554,49800000,17674709320,341,114
15,0,100,2744531833,20466951554,20684501554,217550000,17722419721,2000,151
32,0,103,2744726317,20684501554,20742551554,58050000,17939775237,369,223
21,0,106,2759961640,20742551554,20962151554,219600000,17982589914,2000,192
22,0,106,2812137118,20962151554,21010101554,47950000,18150014436,297,165
23,0,102,2824620093,21010101554,21040301554,30200000,18185481461,145,114
24,0,102,2848584216,21040301554,21266401554,226100000,18191717338,2000,322
16,0,100,2849526616,21266401554,21487501554,221100000,18416874938,2000,222
33,0,103,2862830583,21487501554,21549101554,61600000,18624670971,386,260
25,0,102,2879880345,21549101554,21770101554,221000000,18669221209,2000,220
26,0,102,2881859543,21770101554,21815801554,45700000,18888242011,227,260
12,0,101,2882952343,21815801554,21868001554,52200000,18932849211,322,200
23,0,106,2885041942,21868001554,22084451554,216450000,18982959612,2000,129
34,0,103,2953966928,22084451554,22131701554,47250000,19130484626,248,249
24,0,109,2968186271,22131701554,22241651554,109950000,19163515283,895,209
24,0,106,3039523247,22241651554,22269051554,27400000,19202128307,98,152
25,0,109,3044286419,22269051554,22408751554,139700000,19224765135,1242,110
35,0,103,3072004699,22408751554,22506951554,98200000,19336746855,801,162
12,0,107,3096786724,22506951554,22721551554,214600000,19410164830,2000,92
36,0,103,3118931802,22721551554,22750701554,29150000,19602619752,112,159
25,0,106,3167746874,22750701554,22800951554,50250000,19582954680,283,239
