req_id,compute_sat_id,t_first_arrival_ns,t_last_arrival_ns,D_gather_ns,total_pkts_expected,total_pkts_received,src_node_id,L_in,L_out_expected,t_emit_ns
0,0,227081955,227451554,369599,2,2,101,441,0,11957295
0,0,260793280,269809273,9015993,2,2,106,2000,0,24770408
0,0,264278077,273092470,8814393,2,2,102,2000,0,21880772
1,0,274282869,279814065,5531196,2,2,102,2000,0,25850311
0,0,278974351,281647969,2673618,2,2,103,1134,0,135636531
1,0,288651623,290533221,1881598,2,2,106,900,0,52630826
2,0,294989786,295074586,84800,2,2,106,352,0,58969455
0,0,331867582,337398778,5531196,2,2,109,2000,0,125782444
3,0,364415197,365519196,1103999,2,2,106,657,0,128400012
2,0,366712794,372243990,5531196,2,2,102,2000,0,124045270
3,0,405636283,407165882,1529599,2,2,102,790,0,163811757
1,0,409867594,414630790,4763196,2,2,109,1760,0,203375077
2,0,419872270,424817865,4945595,2,2,109,1817,0,213008709
3,0,436780150,440940147,4159997,2,2,109,895,0,230619672
0,0,435632951,443135346,7502395,2,2,100,1688,0,219023575
1,0,453278407,453278407,0,2,2,103,312,0,310291332
4,0,455081065,455940264,859199,2,2,106,594,0,215154243
2,0,470354222,472610235,2256013,2,2,103,1017,0,327022054
5,0,474626330,480157526,5531196,2,2,106,2000,0,238619342
3,0,477798507,480488126,2689619,2,2,103,1139,0,334466559
4,0,493589408,493589408,0,2,2,103,161,0,352536392
4,0,505576381,507707581,2131200,2,2,109,978,0,298460723
1,0,522363795,527472590,5108795,2,2,101,1868,0,307274852
4,0,536121703,541652899,5531196,2,2,102,2000,0,283532123
5,0,589890872,592580470,2689598,2,2,102,1139,0,348079517
2,0,606249643,608939241,2689598,2,2,101,1139,0,391170823
0,0,625541756,631119351,5577595,2,2,107,2000,0,411513366
5,0,628827985,632952812,4124827,2,2,103,1574,0,485500498
6,0,644030098,649561294,5531196,2,2,102,2000,0,395843947
7,0,656601123,656601123,0,2,2,102,124,0,419610816
3,0,673152181,678729776,5577595,2,2,101,2000,0,447509019
8,0,705522531,711096927,5574396,2,2,102,2000,0,453024395
4,0,713899861,719431057,5531196,2,2,101,2000,0,498834013
6,0,754802673,754802673,0,2,2,106,283,0,520070905
6,0,761033012,766564248,5531236,2,2,103,2000,0,617709435
9,0,762284982,767859378,5574396,2,2,102,2000,0,520485945
5,0,770144683,772010282,1865599,2,2,109,895,0,563138746
6,0,778937589,778937589,0,2,2,109,251,0,574831478
7,0,783379660,788910896,5531236,2,2,103,2000,0,640056740
1,0,794675022,800206218,5531196,2,2,100,2000,0,579821153
7,0,814139057,817151855,3012798,2,2,109,895,0,606446103
7,0,809550261,818094255,8543994,2,2,106,2000,0,567791551
8,0,822696755,828227951,5531196,2,2,106,2000,0,586715567
8,0,842097598,847628794,5531196,2,2,109,2000,0,636021378
8,0,886025353,889396568,3371215,2,2,103,1352,0,733071965
9,0,932020289,932020289,0,2,2,103,339,0,788701757
10,0,935155210,937020818,1865608,2,2,103,895,0,791836768
11,0,957012409,961666845,4654436,2,2,103,1726,0,813694615
1,0,980065385,982873383,2807998,2,2,107,1176,0,766072207
12,0,986509070,988777877,2268807,2,2,103,1021,0,838555261
5,0,1010411439,1015942635,5531196,2,2,101,2000,0,795381423
2,0,1025093851,1030625047,5531196,2,2,107,2000,0,811105137
9,0,1037115462,1042693057,5577595,2,2,106,2000,0,801150099
9,0,1053070522,1053070522,0,2,2,109,260,0,848767549
2,0,1070278039,1072967637,2689598,2,2,100,1139,0,856159492
10,0,1076066649,1079994645,3927996,2,2,106,1154,0,840104168
3,0,1079551446,1080988245,1436799,2,2,100,636,0,864502188
11,0,1091048523,1091856523,808000,2,2,106,578,0,855087152
10,0,1094947946,1095007146,59200,2,2,109,344,0,888876080
13,0,1097138182,1097923782,785600,2,2,103,571,0,953824515
11,0,1133062317,1135899114,2836797,2,2,109,1185,0,926991115
12,0,1150423080,1153461477,3038397,2,2,106,1248,0,914466094
12,0,1177124919,1180150516,3025597,2,2,109,1244,0,970827563
13,0,1193119798,1197116595,3996797,2,2,109,1534,0,981775751
14,0,1198306994,1203838190,5531196,2,2,109,2000,0,987624891
15,0,1254545617,1260028812,5483195,2,2,109,1985,0,1048476513
4,0,1273256942,1273256942,0,2,2,100,283,0,1060238455
14,0,1346160574,1346354173,193599,2,2,103,386,0,1202854243
16,0,1370006237,1371147036,1140799,2,2,109,682,0,1163939078
17,0,1383970252,1385346251,1375999,2,2,109,742,0,1177903330
10,0,1386493450,1392024646,5531196,2,2,102,2000,0,1144237637
15,0,1437784199,1443315434,5531235,2,2,103,2000,0,1294480564
3,0,1453487910,1458638305,5150395,2,2,107,1881,0,1239541653
11,0,1466739147,1472270343,5531196,2,2,102,2000,0,1224990412
5,0,1501486757,1503949155,2462398,2,2,100,1068,0,1287420753
13,0,1513472644,1519003840,5531196,2,2,106,2000,0,1277542428
6,0,1542779169,1548310365,5531196,2,2,100,2000,0,1328718209
4,0,1553152470,1553152470,0,2,2,107,125,0,1343325247
18,0,1579759276,1585290480,5531204,2,2,109,2000,0,1373695689
12,0,1599891057,1602628654,2737597,2,2,102,1154,0,1358151806
14,0,1618905858,1623784253,4878395,2,2,106,1796,0,1381932836
13,0,1636095707,1638175706,2079999,2,2,102,962,0,1391767951
15,0,1653331946,1656021544,2689598,2,2,106,1139,0,1417412024
16,0,1662816611,1662816611,0,2,2,103,250,0,1520658835
7,0,1664000526,1667272523,3271997,2,2,100,1321,0,1445035065
8,0,1701081928,1705657925,4575997,2,2,100,1715,0,1487040245
17,0,1726815197,1728664804,1849607,2,2,103,890,0,1583520062
9,0,1729079806,1729079806,0,2,2,100,166,0,1518363489
6,0,1739443765,1742181362,2737597,2,2,101,1154,0,1524501690
5,0,1749728853,1755260049,5531196,2,2,107,2000,0,1535811933
16,0,1762570776,1768101972,5531196,2,2,106,2000,0,1520484221
18,0,1787948268,1788013868,65600,2,2,103,346,0,1644654939
19,0,1854670727,1854670727,0,2,2,109,148,0,1652890186
19,0,1886233887,1888821108,2587221,2,2,103,1107,0,1742943424
6,0,1914100594,1918607790,4507196,2,2,107,1679,0,1700199933
20,0,1932580577,1933969376,1388799,2,2,109,746,0,1726522926
20,0,2025491825,2025491825,0,2,2,103,250,0,1883344685
10,0,2032694421,2038225617,5531196,2,2,100,2000,0,1818693097
7,0,2049973673,2050141673,168000,2,2,107,378,0,1836086445
7,0,2060775799,2066306995,5531196,2,2,101,2000,0,1845187820
8,0,2070130848,2072079646,1948798,2,2,101,921,0,1855228644
14,0,2098670909,2101099706,2428797,2,2,102,1043,0,1856967211
21,0,2115233443,2117403049,2169606,2,2,103,990,0,1971949699
17,0,2117114351,2122645547,5531196,2,2,106,2000,0,1881228470
15,0,2158494792,2164072387,5577595,2,2,102,2000,0,1916795347
16,0,2178821719,2180127318,1305599,2,2,102,720,0,1937123713
17,0,2238239941,2242185537,3945596,2,2,102,1518,0,1996546146
22,0,2237099364,2242630601,5531237,2,2,103,2000,0,2093819211
23,0,2243821017,2245769825,1948808,2,2,103,921,0,2099616929
11,0,2243580585,2248908581,5327996,2,2,100,1578,0,2024224619
18,0,2248212581,2254439777,6227196,2,2,102,2000,0,2005675825
12,0,2268136824,2268136824,0,2,2,100,263,0,2053461929
19,0,2264895227,2271373622,6478395,2,2,102,2000,0,2021717079
24,0,2288168635,2289634241,1465606,2,2,103,770,0,2144889972
25,0,2290824654,2291018253,193599,2,2,103,386,0,2147118011
9,0,2302682333,2308986328,6303995,2,2,101,1193,0,2087808117
21,0,2304976731,2317959121,12982390,2,2,109,2000,0,2097854103
13,0,2306123930,2318901521,12777591,2,2,100,2000,0,2085744471
26,0,2317256426,2322198862,4942436,2,2,103,1816,0,2173978607
22,0,2362684785,2365374391,2689606,2,2,109,1139,0,2156634258
27,0,2391762631,2397293864,5531233,2,2,103,2000,0,2248487009
8,0,2428884529,2429711729,827200,2,2,107,584,0,2215034727
28,0,2433719113,2438450346,4731233,2,2,103,1750,0,2290444721
9,0,2479051144,2482647942,3596798,2,2,107,1409,0,2265206286
29,0,2482301950,2483946757,1644807,2,2,103,826,0,2339028983
10,0,2517204543,2517204543,0,2,2,107,260,0,2304880370
20,0,2545738448,2545820048,81600,2,2,102,351,0,2304066531
18,0,2553164424,2554630022,1465598,2,2,106,770,0,2317310451
30,0,2561136020,2561739220,603200,2,2,103,514,0,2417865359
31,0,2570724269,2576255503,5531234,2,2,103,2000,0,2427453888
23,0,2598289104,2599482702,1193598,2,2,109,685,0,2392242428
10,0,2600629901,2606161097,5531196,2,2,101,2000,0,2385129997
19,0,2623426167,2626202164,2775997,2,2,106,1166,0,2387577333
11,0,2632813865,2638345061,5531196,2,2,107,2000,0,2418984177
11,0,2671088367,2671088367,0,2,2,101,138,0,2460118158
20,0,2687157321,2692512516,5355195,2,2,106,1945,0,2451313134
14,0,2704799940,2707535937,2735997,2,2,100,1139,0,2490880369
21,0,2734646568,2734646568,0,2,2,102,220,0,2495653827
22,0,2742392634,2742442234,49600,2,2,102,341,0,2500392538
15,0,2737714239,2744531833,6817594,2,2,100,2000,0,2523798671
32,0,2744587117,2744726317,139200,2,2,103,369,0,2601321811
21,0,2754430444,2759961640,5531196,2,2,106,2000,0,2518591173
22,0,2812137118,2812137118,0,2,2,106,297,0,2577242909
23,0,2824620093,2824620093,0,2,2,102,145,0,2587313815
24,0,2837273825,2848584216,11310391,2,2,102,2000,0,2595622614
16,0,2838421024,2849526616,11105592,2,2,100,2000,0,2622489668
33,0,2862636984,2862830583,193599,2,2,103,386,0,2719369000
25,0,2870821151,2879880345,9059194,2,2,102,2000,0,2623687535
26,0,2881859543,2881859543,0,2,2,102,227,0,2625452875
12,0,2882952343,2882952343,0,2,2,101,322,0,2668365146
23,0,2873158749,2885041942,11883193,2,2,106,2000,0,2637175837
34,0,2953966928,2953966928,0,2,2,103,248,0,2811872593
24,0,2966320672,2968186271,1865599,2,2,109,895,0,2760279962
24,0,3039523247,3039523247,0,2,2,106,98,0,2804046974
25,0,3041267221,3044286419,3019198,2,2,109,1242,0,2835227709
35,0,3070439885,3072004699,1564814,2,2,103,801,0,2927184113
12,0,3091255528,3096786724,5531196,2,2,107,2000,0,2877470997
36,0,3118931802,3118931802,0,2,2,103,112,0,2978583152
25,0,3167746874,3167746874,0,2,2,106,283,0,2931816365
17,0,3165631675,3169314872,3683197,2,2,100,1147,0,2951768085
37,0,3228770941,3233604575,4833634,2,2,103,1782,0,3085519790
27,0,3234209160,3235953158,1743998,2,2,102,857,0,2992586109
18,0,3258512696,3258512696,0,2,2,100,226,0,3046830233
28,0,3267069105,3268285103,1215998,2,2,102,347,0,3025403956
19,0,3264731507,3271521901,6790394,2,2,100,2000,0,3050879955
26,0,3304523920,3309026316,4502396,2,2,106,1692,0,3068724703
13,0,3314123208,3316736005,2612797,2,2,107,770,0,3094847765
13,0,3315270407,3322356800,7086393,2,2,101,2000,0,3098949598
20,0,3323503999,3328667194,5163195,2,2,100,1885,0,3107487999
29,0,3375325853,3380268248,4942395,2,2,102,1816,0,3133712827
27,0,3395815773,3397217372,1401599,2,2,106,750,0,3158310402
14,0,3416323544,3420022740,3699196,2,2,107,1096,0,3199565856
26,0,3419765141,3422307538,2542397,2,2,109,1026,0,3212723658
27,0,3441286852,3441986051,699199,2,2,109,544,0,3235253728
28,0,3443176450,3443370049,193599,2,2,109,386,0,3236120650
29,0,3452594071,3454504470,1910399,2,2,109,909,0,3246561136
28,0,3468885403,3469962202,1076799,2,2,106,662,0,3227455915
