req_id,gs_node_id,response_pkt_id,total_response_pkts,t_response_emit_ns,t_response_recv_ns,network_return_delay_ns,src_compute_sat_id,L_in,L_out
0,109,0,2,1526733999,1526733999,0,-1,2000,86
0,109,1,2,1526733999,1526733999,0,-1,2000,86
1,109,0,2,2123083159,2123083159,0,-1,1760,230
1,109,1,2,2123083159,2123083159,0,-1,1760,230
2,109,0,2,2323892853,2323892853,0,-1,1817,197
2,109,1,2,2323892853,2323892853,0,-1,1817,197
3,109,0,2,2435848646,2435848646,0,-1,895,233
3,109,1,2,2435848646,2435848646,0,-1,895,233
4,109,0,2,3377747992,3377747992,0,-1,978,164
4,109,1,2,3377747992,3377747992,0,-1,978,164
5,109,0,2,5956433419,5956433419,0,-1,895,155
5,109,1,2,5956433419,5956433419,0,-1,895,155
6,109,0,2,5997690422,5997690422,0,-1,251,133
6,109,1,2,5997690422,5997690422,0,-1,251,133
7,109,0,2,6547320622,6547320622,0,-1,895,130
7,109,1,2,6547320622,6547320622,0,-1,895,130
8,109,0,2,7202534401,7202534401,0,-1,2000,162
8,109,1,2,7202534401,7202534401,0,-1,2000,162
9,109,0,2,8683187863,8683187863,0,-1,260,187
9,109,1,2,8683187863,8683187863,0,-1,260,187
10,109,0,2,9176436981,9176436981,0,-1,344,225
10,109,1,2,9176436981,9176436981,0,-1,344,225
11,109,0,2,9400586459,9400586459,0,-1,1185,321
11,109,1,2,9400586459,9400586459,0,-1,1185,321
12,109,0,2,9685048482,9685048482,0,-1,1244,239
12,109,1,2,9685048482,9685048482,0,-1,1244,239
13,109,0,2,9858225759,9858225759,0,-1,1534,209
13,109,1,2,9858225759,9858225759,0,-1,1534,209
14,109,0,2,10074186074,10074186074,0,-1,2000,147
14,109,1,2,10074186074,10074186074,0,-1,2000,147
15,109,0,2,10291700411,10291700411,0,-1,1985,170
15,109,1,2,10291700411,10291700411,0,-1,1985,170
16,109,0,2,10493828020,10493828020,0,-1,682,236
16,109,1,2,10493828020,10493828020,0,-1,682,236
17,109,0,2,10583890853,10583890853,0,-1,742,154
17,109,1,2,10583890853,10583890853,0,-1,742,154
18,109,0,2,12273387657,12273387657,0,-1,2000,172
18,109,1,2,12273387657,12273387657,0,-1,2000,172
19,109,0,2,14049158306,14049158306,0,-1,148,229
19,109,1,2,14049158306,14049158306,0,-1,148,229
20,109,0,2,14464095637,14464095637,0,-1,746,198
20,109,1,2,14464095637,14464095637,0,-1,746,198
21,109,0,2,17591875708,17591875708,0,-1,2000,324
21,109,1,2,17591875708,17591875708,0,-1,2000,324
22,109,0,2,18155442217,18155442217,0,-1,1139,269
22,109,1,2,18155442217,18155442217,0,-1,1139,269
23,109,0,2,19480062534,19480062534,0,-1,685,183
23,109,1,2,19480062534,19480062534,0,-1,685,183
24,109,0,2,22312338962,22312338962,0,-1,895,209
24,109,1,2,22312338962,22312338962,0,-1,895,209
25,109,0,2,22477221037,22477221037,0,-1,1242,110
25,109,1,2,22477221037,22477221037,0,-1,1242,110
26,109,0,2,24881248339,24881248339,0,-1,1026,223
26,109,1,2,24881248339,24881248339,0,-1,1026,223
27,109,0,2,24956074240,24956074240,0,-1,544,213
27,109,1,2,24956074240,24956074240,0,-1,544,213
28,109,0,2,25014093358,25014093358,0,-1,386,196
28,109,1,2,25014093358,25014093358,0,-1,386,196
29,109,0,2,25127254794,25127254794,0,-1,909,230
29,109,1,2,25127254794,25127254794,0,-1,909,230
30,109,0,2,25823119482,25823119482,0,-1,1139,224
30,109,1,2,25823119482,25823119482,0,-1,1139,224
31,109,0,2,26162831073,26162831073,0,-1,2000,229
31,109,1,2,26162831073,26162831073,0,-1,2000,229
32,109,0,2,27888022048,27888022048,0,-1,716,251
32,109,1,2,27888022048,27888022048,0,-1,716,251
33,109,0,2,28274923707,28274923707,0,-1,202,231
33,109,1,2,28274923707,28274923707,0,-1,202,231
34,109,0,2,30007208067,30007208067,0,-1,310,150
