req_id,compute_sat_id,src_node_id,t_queue_enter_ns,t_compute_start_ns,t_compute_end_ns,T_compute_ns,T_queue_wait_ns,L_in,L_out
0,3,103,1020686795,1020686795,1021401795,715000,0,478,237
1,3,103,1035909717,1035909717,1036620717,711000,0,502,209
2,3,103,4048817536,4048817536,4049571536,754000,0,516,238
3,3,103,5499568597,5499568597,5500228597,660000,0,469,191
4,3,103,6301021254,6301021254,6301746254,725000,0,505,220
5,3,103,6325893756,6325893756,6326537756,644000,0,439,205
6,3,103,6595338787,6595338787,6595942787,604000,0,406,198
7,3,103,7720811631,7720811631,7721566631,755000,0,592,163
8,3,103,9085108758,9085108758,9085782758,674000,0,496,178
9,3,103,9549777680,9549777680,9550401680,624000,0,459,165
10,3,103,11822573450,11822573450,11823273450,700000,0,572,128
11,3,103,12179174286,12179174286,12179910286,736000,0,560,176
12,3,103,12243144875,12243144875,12243638875,494000,0,299,195
13,3,103,12481578025,12481578025,12482043025,465000,0,324,141
14,3,103,12496757243,12496757243,12497414243,657000,0,434,223
15,3,103,12932407557,12932407557,12933202557,795000,0,608,187
16,3,103,13412101008,13412101008,13412847008,746000,0,560,186
17,3,103,13886638838,13886638838,13887490838,852000,0,670,182
18,3,103,13904347985,13904347985,13904996985,649000,0,505,144
19,3,103,15141988845,15141988845,15142797845,809000,0,583,226
20,3,103,15964861354,15964861354,15965757354,896000,0,685,211
21,3,103,16861523605,16861523605,16862087605,564000,0,457,107
22,3,103,17132908677,17132908677,17133454677,546000,0,375,171
23,3,103,17145869893,17145869893,17146442893,573000,0,414,159
24,3,103,17343206734,17343206734,17343869734,663000,0,482,181
25,3,103,17508058437,17508058437,17508781437,723000,0,539,184
26,3,103,17790251664,17790251664,17791072664,821000,0,580,241
27,3,103,18057114731,18057114731,18057873731,759000,0,520,239
28,3,103,18374665199,18374665199,18375293199,628000,0,467,161
29,3,103,18425939452,18425939452,18426750452,811000,0,606,205
30,3,103,18876555224,18876555224,18877102224,547000,0,373,174
31,3,103,18922953391,18922953391,18923697391,744000,0,553,191
32,3,103,19510596024,19510596024,19511309024,713000,0,596,117
33,3,103,20846595311,20846595311,20847183311,588000,0,431,157
34,3,103,21681903737,21681903737,21682505737,602000,0,409,193
35,3,103,22709344200,22709344200,22710111200,767000,0,565,202
36,3,103,22873612956,22873612956,22874315956,703000,0,568,135
37,3,103,23575264703,23575264703,23575883703,619000,0,320,299
38,3,103,24468631457,24468631457,24469461457,830000,0,605,225
39,3,103,25419588157,25419588157,25420159157,571000,0,364,207
40,3,103,25597035896,25597035896,25597805896,770000,0,486,284
41,3,103,25603372508,25603372508,25603999508,627000,0,439,188
42,3,103,25680291881,25680291881,25681113881,822000,0,614,208
43,3,103,25798347578,25798347578,25799208578,861000,0,604,257
44,3,103,26909985826,26909985826,26910592826,607000,0,447,160
45,3,103,27450485532,27450485532,27451083532,598000,0,478,120
46,3,103,27992699070,27992699070,27993671070,972000,0,769,203
47,3,103,28352211451,28352211451,28352824451,613000,0,368,245
48,3,103,28866141817,28866141817,28866881817,740000,0,453,287
49,3,103,29116082353,29116082353,29117005353,923000,0,641,282
50,3,103,29161420121,29161420121,29162015121,595000,0,363,232
51,3,103,29574167597,29574167597,29574911597,744000,0,565,179
