req_id,compute_sat_id,t_first_arrival_ns,t_last_arrival_ns,D_gather_ns,total_pkts_expected,total_pkts_received,src_node_id,L_in,L_out_expected,t_emit_ns
0,1,1547941218,1548611614,670396,2,2,101,535,0,1377085728
1,1,1924853305,1925984500,1131195,2,2,101,679,0,1754043266
2,1,2061591383,2062172179,580796,2,2,101,507,0,1890797813
3,1,2378547605,2379000401,452796,2,2,101,467,0,2207792215
4,1,2447006652,2447481848,475196,2,2,101,474,0,2276259525
5,1,2604352005,2605166396,814391,2,2,101,580,0,2433623816
6,1,3157968100,3157968100,0,2,2,101,308,0,2987802589
7,1,3285648433,3285648433,0,2,2,101,334,0,3115082265
8,1,3853154925,3853994921,839996,2,2,101,588,0,3682576942
9,1,4006458768,4007004360,545592,2,2,101,496,0,3835899201
10,1,4735704550,4736442146,737596,2,2,101,556,0,4565232557
11,1,4788522792,4788613987,91195,2,2,101,354,0,4618057150
12,1,5642737719,5642976114,238395,2,2,101,400,0,5472374462
13,1,6418416091,6418884883,468792,2,2,101,472,0,6248145698
14,1,6425065637,6425470432,404795,2,2,101,452,0,6254796018
15,1,6655991441,6656677836,686395,2,2,101,540,0,6485749448
16,1,6713791393,6714573789,782396,2,2,101,570,0,6543556308
17,1,6794580494,6795167689,587195,2,2,101,509,0,6624355075
18,1,6938082864,6938599659,516795,2,2,101,487,0,6767874580
19,1,7155511335,7156066531,555196,2,2,101,499,0,6985329054
20,1,7654881364,7655305360,423996,2,2,101,458,0,7484758699
21,1,7847159035,7848117430,958395,2,2,101,625,0,7677059319
22,1,8204138928,8204188524,49596,2,2,101,341,0,8034081788
23,1,8347846552,8347934548,87996,2,2,101,353,0,8177806553
24,1,8919136785,8919592781,455996,2,2,101,468,0,8749164842
25,1,8983828877,8984006473,177596,2,2,101,381,0,8813864642
26,1,9725990049,9726516445,526396,2,2,101,490,0,9556114106
27,1,9784864717,9785464711,599994,2,2,101,513,0,9614995772
28,1,10553581887,10554133882,551995,2,2,101,498,0,10383804275
29,1,11156590712,11156829107,238395,2,2,101,400,0,10986884637
30,1,12121069991,12121202787,132796,2,2,101,367,0,11951478175
31,1,12338160726,12338360722,199996,2,2,101,388,0,12168594584
32,1,13322472352,13323305947,833595,2,2,101,586,0,13153022563
33,1,13707963861,13708618256,654395,2,2,101,530,0,13538559554
34,1,13883657603,13884382399,724796,2,2,101,552,0,13714274011
35,1,14697698059,14699093250,1395191,2,2,101,748,0,14528410393
36,1,16530831086,16531456682,625596,2,2,101,521,0,16361758827
37,1,17874200792,17874906388,705596,2,2,101,546,0,17705285862
38,1,18096433399,18096902195,468796,2,2,101,472,0,17927544449
39,1,18666950694,18667582689,631995,2,2,101,523,0,18498128399
40,1,18725025616,18725542411,516795,2,2,101,487,0,18556210094
41,1,19027160783,19027843979,683196,2,2,101,539,0,18858380516
42,1,19100550213,19101655808,1105595,2,2,101,671,0,18931778499
43,1,19250469951,19250469951,0,2,2,101,312,0,19082147772
44,1,19353930783,19354866778,935995,2,2,101,618,0,19185188626
45,1,19684954614,19685487409,532795,2,2,101,492,0,19516251022
46,1,19745480808,19746250402,769594,2,2,101,566,0,19576784261
47,1,20313776432,20314850028,1073596,2,2,101,661,0,20145146032
48,1,20975407996,20975748786,340790,2,2,101,432,0,20806854482
49,1,21374776070,21375212865,436795,2,2,101,462,0,21206268917
50,1,21397935740,21398513336,577596,2,2,101,506,0,21229431286
51,1,21528219434,21529203430,983996,2,2,101,633,0,21359730086
52,1,22517393990,22517929982,535992,2,2,101,493,0,22349019240
53,1,22654110171,22654524566,414395,2,2,101,455,0,22485751238
54,1,22731572304,22732569099,996795,2,2,101,637,0,22563222337
55,1,22912923868,22913530263,606395,2,2,101,515,0,22744594878
56,1,23216167175,23216167175,0,2,2,101,278,0,23048849303
57,1,23477928223,23478563419,635196,2,2,101,524,0,23309664506
58,1,23994092905,23995160099,1067194,2,2,101,659,0,23825888730
59,1,24290601015,24291111411,510396,2,2,101,485,0,24122431036
60,1,24541538232,24541789427,251195,2,2,101,404,0,24373397150
61,1,24559215631,24559934027,718396,2,2,101,550,0,24391076584
62,1,26258419760,26259541355,1121595,2,2,101,676,0,26090475984
63,1,26712911482,26713524278,612796,2,2,101,517,0,26545019798
64,1,26852807586,26853874781,1067195,2,2,101,659,0,26684931924
65,1,26876345822,26877272213,926391,2,2,101,615,0,26708472851
66,1,28849731826,28850555820,823994,2,2,101,583,0,28682084247
67,1,29942123301,29943084896,961595,2,2,101,626,0,29774599997
