req_id,gs_node_id,response_pkt_id,total_response_pkts,t_response_emit_ns,t_response_recv_ns,network_return_delay_ns,src_compute_sat_id,L_in,L_out
0,101,0,2,1608104035,1608104035,0,-1,535,228
0,101,1,2,1608104035,1608104035,0,-1,535,228
1,101,0,2,1984670768,1984670768,0,-1,679,173
1,101,1,2,1984670768,1984670768,0,-1,679,173
2,101,0,2,2120391985,2120391985,0,-1,507,156
2,101,1,2,2120391985,2120391985,0,-1,507,156
3,101,0,2,2438323485,2438323485,0,-1,467,224
3,101,1,2,2438323485,2438323485,0,-1,467,224
4,101,0,2,2506010184,2506010184,0,-1,474,177
4,101,1,2,2506010184,2506010184,0,-1,474,177
5,101,0,2,2664848373,2664848373,0,-1,580,239
5,101,1,2,2664848373,2664848373,0,-1,580,239
6,101,0,2,3215672962,3215672962,0,-1,308,140
6,101,1,2,3215672962,3215672962,0,-1,308,140
7,101,0,2,3345941114,3345941114,0,-1,334,291
7,101,1,2,3345941114,3345941114,0,-1,334,291
8,101,0,2,3913770830,3913770830,0,-1,588,247
8,101,1,2,3913770830,3913770830,0,-1,588,247
9,101,0,2,4065713180,4065713180,0,-1,496,190
9,101,1,2,4065713180,4065713180,0,-1,496,190
10,101,0,2,4794790795,4794790795,0,-1,556,167
10,101,1,2,4794790795,4794790795,0,-1,556,167
11,101,0,2,4847132556,4847132556,0,-1,354,189
11,101,1,2,4847132556,4847132556,0,-1,354,189
12,101,0,2,5700299566,5700299566,0,-1,400,118
12,101,1,2,5700299566,5700299566,0,-1,400,118
13,101,0,2,6477184369,6477184369,0,-1,472,173
13,101,1,2,6477184369,6477184369,0,-1,472,173
14,101,0,2,6483511661,6483511661,0,-1,452,159
14,101,1,2,6483511661,6483511661,0,-1,452,159
15,101,0,2,6716344827,6716344827,0,-1,540,250
15,101,1,2,6716344827,6716344827,0,-1,540,250
16,101,0,2,6773962470,6773962470,0,-1,570,232
16,101,1,2,6773962470,6773962470,0,-1,570,232
17,101,0,2,6853829183,6853829183,0,-1,509,193
17,101,1,2,6853829183,6853829183,0,-1,509,193
18,101,0,2,6998865395,6998865395,0,-1,487,289
18,101,1,2,6998865395,6998865395,0,-1,487,289
19,101,0,2,7215281646,7215281646,0,-1,499,227
19,101,1,2,7215281646,7215281646,0,-1,499,227
20,101,0,2,7713184619,7713184619,0,-1,458,152
20,101,1,2,7713184619,7713184619,0,-1,458,152
21,101,0,2,7907447989,7907447989,0,-1,625,228
21,101,1,2,7907447989,7907447989,0,-1,625,228
22,101,0,2,8261928974,8261928974,0,-1,341,152
22,101,1,2,8261928974,8261928974,0,-1,341,152
23,101,0,2,8405766290,8405766290,0,-1,353,157
23,101,1,2,8405766290,8405766290,0,-1,353,157
24,101,0,2,8977601814,8977601814,0,-1,468,162
24,101,1,2,8977601814,8977601814,0,-1,468,162
25,101,0,2,9043132941,9043132941,0,-1,381,233
25,101,1,2,9043132941,9043132941,0,-1,381,233
26,101,0,2,9786300460,9786300460,0,-1,490,267
26,101,1,2,9786300460,9786300460,0,-1,490,267
27,101,0,2,9844691385,9844691385,0,-1,513,233
27,101,1,2,9844691385,9844691385,0,-1,513,233
28,101,0,2,10611224186,10611224186,0,-1,498,110
28,101,1,2,10611224186,10611224186,0,-1,498,110
29,101,0,2,11214545573,11214545573,0,-1,400,154
29,101,1,2,11214545573,11214545573,0,-1,400,154
30,101,0,2,12180378162,12180378162,0,-1,367,244
30,101,1,2,12180378162,12180378162,0,-1,367,244
31,101,0,2,12396460550,12396460550,0,-1,388,180
31,101,1,2,12396460550,12396460550,0,-1,388,180
32,101,0,2,13381819975,13381819975,0,-1,586,195
32,101,1,2,13381819975,13381819975,0,-1,586,195
33,101,0,2,13767333123,13767333123,0,-1,530,211
33,101,1,2,13767333123,13767333123,0,-1,530,211
34,101,0,2,13943401348,13943401348,0,-1,552,228
34,101,1,2,13943401348,13943401348,0,-1,552,228
35,101,0,2,14759432201,14759432201,0,-1,748,296
35,101,1,2,14759432201,14759432201,0,-1,748,296
36,101,0,2,16588810951,16588810951,0,-1,521,138
36,101,1,2,16588810951,16588810951,0,-1,521,138
37,101,0,2,17933423197,17933423197,0,-1,546,208
37,101,1,2,17933423197,17933423197,0,-1,546,208
