req_id,src_gs_idx,t_emit_ns,L_in,L_out
0,0,219023575,1688,39
1,0,579821153,3654,226
2,0,856159492,1139,74
3,0,864502188,636,1
4,0,1060238455,283,192
5,0,1287420753,1068,740
6,0,1328718209,7283,370
7,0,1445035065,1321,268
8,0,1487040245,1715,215
9,0,1518363489,166,137
10,0,1818693097,4040,301
11,0,2024224619,1578,146
12,0,2053461929,263,14
13,0,2085744471,5508,253
14,0,2490880369,1139,55
15,0,2523798671,5247,10
16,0,2622489668,3845,118
17,0,2951768085,1147,55
18,0,3046830233,226,102
19,0,3050879955,6896,10
20,0,3107487999,1885,67
21,0,3292239088,449,16
22,0,3296771382,4021,345
23,0,3843222072,4085,247
24,0,3855467493,360,333
25,0,3866188360,1218,555
26,0,4022570123,151,23
27,0,4057746708,1211,6
28,0,4192504074,179,11
29,0,4238548117,99,53
30,0,4828629853,4220,247
31,0,4861367310,2033,197
32,0,4889630355,6834,929
33,0,5350419025,4204,119
34,0,5356846812,365,23
35,0,5445366649,1139,98
36,0,5449542806,583,259
37,0,5555273006,2948,462
38,0,5704792948,982,1
39,0,6199611155,483,202
40,0,6326947047,692,475
41,0,6416573242,1483,48
42,0,6563603741,1244,25
43,0,6634579550,389,33
44,0,6703224369,149,15
45,0,6759068161,84,3
46,0,6956615797,154,14
47,0,7334025091,117,761
48,0,7374415063,113,4
49,0,7644903815,813,82
50,0,7723184795,481,187
51,0,8093413445,3928,287
52,0,8359155991,5779,10
53,0,8487036287,3847,99
54,0,8709362967,1335,131
55,0,8774291293,1605,28
56,0,8835945760,1948,107
57,0,8975596899,5997,10
58,0,8976337490,128,71
59,0,8999769809,6645,10
60,0,9092466633,2565,273
61,0,9221125223,292,433
62,0,9244152864,9716,13
63,0,9303333894,324,4
64,0,9518563596,148,19
65,0,9637031156,323,605
66,0,9658870336,349,191
67,0,9843411363,553,31
68,0,10015819149,5588,10
69,0,10240230949,268,302
70,0,10657610945,1122,80
71,0,10703294257,251,296
72,0,11071944562,1058,1
73,0,11321351787,1047,226
74,0,11326721816,3764,579
75,0,11377604884,644,407
76,0,11658851782,8295,423
77,0,11767877416,1779,34
78,0,11814226122,1139,93
79,0,11824961534,386,12792
80,0,11845106143,752,99
81,0,11877469875,146,309
82,0,11956630962,441,56
83,0,12230707549,777,233
84,0,12275923549,397,18
85,0,12305651920,549,220
86,0,12309432309,1603,66
87,0,12452449233,1204,39
88,0,12540848913,1322,206
89,0,12784824814,3544,252
90,0,13238778424,351,216
91,0,13344969460,1044,112
92,0,13435082253,783,8
93,0,13549851818,5263,148
94,0,13587939192,3843,247
95,0,13598181086,134,6
96,0,13691655378,108,21
97,0,13817194092,2756,328
98,0,13875508297,3933,433
99,0,14224166849,4066,48
100,0,14237646938,164,18
101,0,14356322503,488,1
102,0,14467215266,777,180
103,0,14687806719,1531,590
104,0,14937475821,1051,17
105,0,15425668848,843,218
106,0,15452528728,1705,157
107,0,15565770659,1273,685
108,0,15842082046,981,374
109,0,15903317302,283,193
110,0,15952865406,957,70
111,0,16132502739,1355,236
112,0,16498396009,1827,859
113,0,16543231883,3511,344
114,0,16561993481,504,198
115,0,16845046094,3563,191
116,0,17218583606,373,30
117,0,17694784081,266,1
118,0,17804281959,557,2
119,0,17927079132,1139,81
120,0,18183744010,499,1
121,0,18263868239,283,196
122,0,18407232668,283,196
123,0,18678539555,386,937
124,0,18679353484,589,331
125,0,19202036311,1810,1025
126,0,19241786745,145,19
127,0,19551801081,400,175
128,0,19652233455,1091,203
129,0,19975510731,2228,76
130,0,19993679971,100,972
131,0,20120410544,386,213
