req_id,src_gs_idx,t_emit_ns,L_in,L_out
0,4,51916860,1367,18
1,4,264095148,85,2
2,4,321682957,1014,1
3,4,386331869,1010,1
4,4,602068629,757,248
5,4,724620469,13791,58
6,4,921137161,162,11
7,4,987385956,3627,461
8,4,1250987012,3640,328
9,4,1279753057,526,179
10,4,1332369740,708,184
11,4,1820012100,356,9
12,4,1886180629,4909,227
13,4,1962298983,5080,23
14,4,2061995674,1133,64
15,4,2146151323,5396,10
16,4,2182534257,484,223
17,4,2454859410,898,511
18,4,2614702404,784,283
19,4,2685711108,283,195
20,4,3113818521,1870,193
21,4,3187942601,3848,132
22,4,3245733734,1272,728
23,4,3652630827,293,213
24,4,3727384182,1333,915
25,4,3727593495,48130,335
26,4,3768000985,268,33
27,4,3808205174,1173,206
28,4,3809790387,1665,577
29,4,3859741730,157,13
30,4,3864392086,890,51
31,4,3902689423,1562,119
32,4,4069826811,773,8
33,4,4088474390,284,2
34,4,4126518369,67,3
35,4,4324098732,283,192
36,4,4447020596,364,236
37,4,4966639121,4675,139
38,4,5211855211,998,455
39,4,5461364494,13788,27
40,4,5546627115,772,210
41,4,5574087136,1168,67
42,4,5590273735,5989,10
43,4,5723121471,1011,1
44,4,5934559140,256,80
45,4,6112432610,666,9
46,4,6141797483,4722,10
47,4,6220066549,2457,1489
48,4,6241805352,1310,416
49,4,6637765967,985,125
50,4,7073167979,1552,227
51,4,7114048572,3583,176
52,4,7321267127,3241,240
53,4,7854119206,1816,293
54,4,7963613166,1213,572
55,4,8038998397,5180,932
56,4,8181628340,102772,135
57,4,8186811604,62,3
58,4,8608507277,445,1
59,4,8721965135,829,288
60,4,8808890972,67,1
61,4,8966293975,7966,154
62,4,9433131304,428,1
63,4,9461291200,2116,1007
64,4,9485933680,758,339
65,4,9792167047,283,198
66,4,10044905572,7564,131
67,4,10087827861,1154,156
68,4,10143708007,397,27
69,4,10650361616,1649,541
70,4,10676843945,4610,35
71,4,10708453141,741,59
72,4,10802911861,3509,275
73,4,10816824339,4224,162
74,4,10866898621,1170,84
75,4,11085381097,207,13
76,4,11189703865,978,1
77,4,11198657921,128,48
78,4,11538550292,1772,204
79,4,11931577679,788,216
80,4,12115632330,885,214
81,4,12187171660,830,143
82,4,12266793430,409,21
83,4,12364368587,865,101
84,4,12375707345,301,24
85,4,12461378484,3603,285
86,4,12564638046,4444,468
87,4,12590739286,4076,347
88,4,12786573415,1923,38
89,4,12836775712,1139,85
90,4,12843155317,397,150
91,4,13053792914,579,151
92,4,13323889049,183,444
93,4,13378013412,638,149
94,4,13750101774,4237,195
95,4,13838046691,1139,89
96,4,13888902247,149,17
97,4,13892984796,1539,135
98,4,14014909966,348,76
99,4,14278060346,361,54
100,4,14460933416,1257,210
101,4,14579385380,582,183
102,4,14826351317,851,410
103,4,14899788815,191,40
104,4,14934924245,2168,569
105,4,15479579536,549,44
106,4,15513452199,1101,59
107,4,15721175702,1360,23
108,4,15884458795,15082,4026
109,4,15976229580,731,1
110,4,16050750151,647,185
111,4,16343356429,4354,404
112,4,17028457249,1724,68
113,4,17118564300,5769,10
114,4,17366529127,2429,230
115,4,17445390492,639,54
116,4,17488382555,923,405
117,4,17529772955,1058,535
118,4,18486703992,1139,79
119,4,18583165827,1030,213
120,4,18588551885,2045,37
121,4,18674707579,3567,592
122,4,18752966786,23293,718
123,4,18824880397,760,218
124,4,18893666394,686,42
125,4,19071261431,455,208
126,4,19161997212,128,16
127,4,19464350549,1060,32
128,4,19690614709,5371,1643
129,4,19741275219,646,49
130,4,19801056824,4032,77
131,4,19908595093,2256,418
132,4,20038105262,6095,114
133,4,20096056532,1842,30
134,4,20172321018,283,196
135,4,20222886683,1477,213
136,4,20321287911,386,604
137,4,20414834288,1454,205
138,4,20536763910,993,1
139,4,20862329556,391,23
140,4,20863945431,3656,325
141,4,20940027356,3103,74
142,4,20958895806,210,22
143,4,21073617599,3000,87
144,4,21300014741,534,202
145,4,21389068631,1164,191
146,4,21631326249,1154,156
147,4,21691429741,1009,22
148,4,22247363001,900,464
149,4,22329246616,515,1
150,4,22403741403,1139,72
151,4,22483227160,1074,344
152,4,22647699707,318,197
153,4,22870816644,1638,166
154,4,23341359794,1154,136
155,4,23380047082,9620,2
156,4,23471876631,283,196
157,4,23512076327,7253,107
158,4,23549784064,325,3
159,4,23675484603,3584,211
160,4,23687858412,3936,332
161,4,23905014333,400,243
162,4,24053097900,601,59
163,4,24118262859,283,2
164,4,24188229870,396,153
165,4,24346857643,925,90
166,4,24525490045,1267,262
167,4,24561558590,2449,37
168,4,24802957085,3848,72
169,4,25360923566,203,113
170,4,25517004867,2133,623
171,4,25529046420,1204,68
172,4,25783461048,373,77
173,4,25833446972,1139,99
174,4,25912461541,1602,1009
175,4,26298185846,745,56
176,4,26303577359,480,153
177,4,26345522562,5487,10
178,4,26367464743,1029,1
179,4,26799202199,145,260
180,4,26927185466,1422,17
181,4,27180329550,222,16
182,4,27196452225,8815,293
183,4,27298124459,3851,118
184,4,27434850338,396,209
185,4,27849168160,1333,229
186,4,28461818536,263,595
187,4,28704409876,435,67
188,4,28770893794,377,61
189,4,28828732131,960,1
190,4,28941727179,1242,325
191,4,29047966489,290,663
192,4,29141107420,3973,262
193,4,29518299045,2485,198
194,4,29786045653,3935,386
195,4,30003002927,990,567
196,4,30286480887,4627,411
197,4,30453590565,1837,30
198,4,30502696763,8812,10
199,4,30734929740,27859,754
200,4,30786719995,214,59
201,4,30969434644,911,531
202,4,31123102551,3694,122
203,4,31277083746,1107,210
204,4,31359565958,364,200
205,4,31925323304,816,232
206,4,32021093662,985,222
207,4,32048352994,489,89
208,4,32132714847,3855,149
209,4,32530451934,939,9
210,4,32554894363,1354,76
211,4,32665554398,1168,76
212,4,32815450735,4394,22
213,4,32833478819,772,41
214,4,32858320846,529,308
215,4,32943031194,1101,71
216,4,32952648889,1994,498
217,4,33012719597,315,221
218,4,33401034885,1133,59
219,4,33419150994,1168,90
220,4,33894976568,1013,1
221,4,34028973156,5795,818
222,4,34123985406,723,210
223,4,34399004166,6241,351
224,4,34461552394,626,202
225,4,34764690603,1139,94
226,4,34899972245,7963,146
