req_id,src_gs_idx,t_emit_ns,L_in,L_out
0,0,219023575,1688,39
1,0,579821153,3654,226
2,0,856159492,1139,74
3,0,864502188,636,1
4,0,1060238455,283,192
5,0,1287420753,1068,740
6,0,1328718209,7283,370
7,0,1445035065,1321,268
8,0,1487040245,1715,215
9,0,1518363489,166,137
10,0,1818693097,4040,301
11,0,2024224619,1578,146
12,0,2053461929,263,14
13,0,2085744471,5508,253
14,0,2490880369,1139,55
15,0,2523798671,5247,10
16,0,2622489668,3845,118
17,0,2951768085,1147,55
18,0,3046830233,226,102
19,0,3050879955,6896,10
20,0,3107487999,1885,67
21,0,3292239088,449,16
22,0,3296771382,4021,345
23,0,3843222072,4085,247
24,0,3855467493,360,333
25,0,3866188360,1218,555
26,0,4022570123,151,23
27,0,4057746708,1211,6
28,0,4192504074,179,11
29,0,4238548117,99,53
30,0,4828629853,4220,247
31,0,4861367310,2033,197
32,0,4889630355,6834,929
