req_id,src_gs_idx,t_emit_ns,L_in,L_out
0,1,11957295,441,433
1,1,307274852,1868,202
2,1,391170823,1139,84
3,1,447509019,6349,781
4,1,498834013,2222,37
5,1,795381423,3673,124
6,1,1524501690,1154,105
7,1,1845187820,2840,407
8,1,1855228644,921,37
9,1,2087808117,1193,211
10,1,2385129997,2806,445
11,1,2460118158,138,18
12,1,2668365146,322,196
13,1,3098949598,2310,145
14,1,3610443528,193,13
15,1,3750255673,1224,125
16,1,3767918090,7211,10
17,1,4219842625,719,68
18,1,4235826897,4562,37
19,1,4332126517,1175,223
20,1,4732293783,1210,21
21,1,4770425900,4716,122
22,1,4828196936,475,194
23,1,4835533439,1118,886
24,1,4891569090,1033,20
