req_id,src_gs_idx,t_emit_ns,L_in,L_out
0,2,21880772,5282,10
1,2,25850311,9675,20
2,2,124045270,3038,694
3,2,163811757,790,122
4,2,283532123,3714,118
5,2,348079517,1139,97
6,2,395843947,2394,122
7,2,419610816,124,36
8,2,453024395,4211,346
9,2,520485945,4485,54
10,2,1144237637,5696,57
11,2,1224990412,12413,70
12,2,1358151806,1154,156
13,2,1391767951,962,26
14,2,1856967211,1043,26
15,2,1916795347,3956,314
16,2,1937123713,720,20
17,2,1996546146,1518,108
18,2,2005675825,9701,16
19,2,2021717079,23142,399
20,2,2304066531,351,143
21,2,2495653827,220,5
22,2,2500392538,341,1
23,2,2587313815,145,455
24,2,2595622614,2990,651
25,2,2623687535,2000,37
26,2,2625452875,227,9
27,2,2992586109,857,8
28,2,3025403956,347,135
29,2,3133712827,1816,8
30,2,3233429703,153,4
31,2,3479037422,427,17
32,2,3539077865,1183,356
33,2,3607632440,686,43
34,2,3820004211,1139,95
35,2,3927743688,13128,50
36,2,3975485831,1118,299
37,2,4370762552,6380,10
38,2,4448077536,1231,21
39,2,4795982568,2272,57
40,2,4854642642,1170,135
41,2,4996474170,9816,27
