req_id,src_gs_idx,t_emit_ns,L_in,L_out
0,4,51916860,1367,18
1,4,264095148,85,2
2,4,321682957,1014,1
3,4,386331869,1010,1
4,4,602068629,757,248
5,4,724620469,13791,58
6,4,921137161,162,11
7,4,987385956,3627,461
8,4,1250987012,3640,328
9,4,1279753057,526,179
10,4,1332369740,708,184
11,4,1820012100,356,9
12,4,1886180629,4909,227
13,4,1962298983,5080,23
14,4,2061995674,1133,64
15,4,2146151323,5396,10
16,4,2182534257,484,223
17,4,2454859410,898,511
18,4,2614702404,784,283
19,4,2685711108,283,195
20,4,3113818521,1870,193
21,4,3187942601,3848,132
22,4,3245733734,1272,728
23,4,3652630827,293,213
24,4,3727384182,1333,915
25,4,3727593495,48130,335
26,4,3768000985,268,33
27,4,3808205174,1173,206
28,4,3809790387,1665,577
29,4,3859741730,157,13
30,4,3864392086,890,51
31,4,3902689423,1562,119
32,4,4069826811,773,8
33,4,4088474390,284,2
34,4,4126518369,67,3
35,4,4324098732,283,192
36,4,4447020596,364,236
37,4,4966639121,4675,139
