req_id,compute_sat_id,src_node_id,t_queue_enter_ns,t_compute_start_ns,t_compute_end_ns,T_compute_ns,T_queue_wait_ns,L_in,L_out
0,2,60,393565713,393565713,581565713,188000000,0,1688,184
1,2,60,863863602,863863602,1248113602,384250000,0,3654,177
2,2,60,1028869464,1248113602,1383363602,135250000,219244138,1139,227
3,2,60,1035515764,1383363602,1459963602,76600000,347847838,636,60
4,2,60,1229531773,1459963602,1502863602,42900000,230431829,283,92
5,2,60,1459881826,1502863602,1621863602,119000000,42981776,1068,44
6,2,60,1616585598,1621863602,2038063602,416200000,5278004,4000,124
7,2,60,1629565988,2038063602,2195663602,157600000,408497614,1321,310
8,2,60,1661604877,2195663602,2383113602,187450000,534058725,1715,119
9,2,60,1686136188,2383113602,2424063602,40950000,696977414,166,287
10,2,60,2104119482,2424063602,2842063602,418000000,319944120,4000,160
11,2,60,2198323921,2842063602,3021763602,179700000,643739681,1578,238
12,2,60,2222460139,3021763602,3074463602,52700000,799303463,263,328
13,2,60,2371148576,3074463602,3486863602,412400000,703315026,4000,48
14,2,60,2663508355,3486863602,3618063602,131200000,823355247,1139,146
15,2,60,2809166305,3618063602,4039463602,421400000,808897297,4000,228
16,2,60,2907476885,4039463602,4442513602,403050000,1131986717,3845,171
17,2,60,3124398689,4442513602,4577213602,134700000,1318114913,1147,200
18,2,60,3215294528,4577213602,4619413602,42200000,1361919074,226,192
20,2,60,3282688435,4619413602,4838563602,219150000,1336725167,1885,413
