req_id,gs_node_id,response_pkt_id,total_response_pkts,t_response_emit_ns,t_response_recv_ns,network_return_delay_ns,src_compute_sat_id,L_in,L_out
0,63,0,2,580846315,580846315,0,-1,1134,274
0,63,1,2,580846315,580846315,0,-1,1134,274
1,63,0,2,676681855,676681855,0,-1,312,381
1,63,1,2,676681855,676840256,158401,-1,312,381
2,63,0,2,786359922,786359922,0,-1,1017,53
2,63,1,2,786359922,786359922,0,-1,1017,53
3,63,0,2,921225998,921225998,0,-1,1139,179
3,63,1,2,921225998,921225998,0,-1,1139,179
4,63,0,2,963602018,963602018,0,-1,161,290
4,63,1,2,963602018,963602018,0,-1,161,290
5,63,0,2,1143892138,1143892138,0,-1,1574,265
5,63,1,2,1143892138,1143892138,0,-1,1574,265
8,63,0,2,1294448214,1294448214,0,-1,1352,146
8,63,1,2,1294448214,1294448214,0,-1,1352,146
6,63,0,2,1711880457,1711880457,0,-1,4000,148
6,63,1,2,1711880457,1711880457,0,-1,4000,148
9,63,0,2,1770968492,1770968492,0,-1,339,266
9,63,1,2,1770968492,1770968492,0,-1,339,266
10,63,0,2,1870766558,1870766558,0,-1,895,69
10,63,1,2,1870766558,1870766558,0,-1,895,69
7,63,0,2,2286856809,2286856809,0,-1,4000,109
7,63,1,2,2286856809,2286856809,0,-1,4000,109
11,63,0,2,2484278933,2484278933,0,-1,1726,251
11,63,1,2,2484278933,2484278933,0,-1,1726,251
12,63,0,2,2606553011,2606553011,0,-1,1021,215
12,63,1,2,2606553011,2606553011,0,-1,1021,215
13,63,0,2,2670279051,2670279051,0,-1,571,1
13,63,1,2,2670279051,2670279051,0,-1,571,1
14,63,0,2,2730809091,2730809091,0,-1,386,181
14,63,1,2,2730809091,2730809091,0,-1,386,181
15,63,0,2,2970853246,2970853246,0,-1,2171,240
15,63,1,2,2970853246,2970853246,0,-1,2171,240
16,63,0,2,3025933281,3025933281,0,-1,250,368
16,63,1,2,3025933281,3026050082,116801,-1,250,368
17,63,0,2,3135847360,3135847360,0,-1,890,249
17,63,1,2,3135847360,3135847360,0,-1,890,249
18,63,0,2,3182799391,3182799391,0,-1,346,96
18,63,1,2,3182799391,3182799391,0,-1,346,96
19,63,0,2,3318067474,3318067474,0,-1,1107,244
19,63,1,2,3318067474,3318067474,0,-1,1107,244
20,63,0,2,3374483512,3374483512,0,-1,250,396
20,63,1,2,3374483512,3374689913,206401,-1,250,396
21,63,0,2,3502083598,3502083598,0,-1,990,372
21,63,1,2,3502083598,3502213198,129600,-1,990,372
23,63,0,2,3621733679,3621733679,0,-1,921,351
23,63,1,2,3621733679,3621796079,62400,-1,921,351
24,63,0,2,3724135748,3724135748,0,-1,770,317
24,63,1,2,3724135748,3724135748,0,-1,770,317
25,63,0,2,3774923789,3774923789,0,-1,386,110
25,63,1,2,3774923789,3774923789,0,-1,386,110
26,63,0,2,3976907922,3976907922,0,-1,1816,184
26,63,1,2,3976907922,3976907922,0,-1,1816,184
22,63,0,2,4395976221,4395976221,0,-1,4000,182
22,63,1,2,4395976221,4395976221,0,-1,4000,182
27,63,0,2,4689446425,4689446425,0,-1,2714,227
27,63,1,2,4689446425,4689446425,0,-1,2714,227
28,63,0,2,4883156566,4883156566,0,-1,1750,187
28,63,1,2,4883156566,4883156566,0,-1,1750,187
29,63,0,2,4991904645,4991904645,0,-1,826,290
29,63,1,2,4991904645,4991904645,0,-1,826,290
