req_id,compute_sat_id,t_queue_enter_ns,t_compute_start_ns,t_compute_end_ns,T_compute_ns,T_queue_wait_ns,L_in,L_out
0,22,474572480,474572480,569852480,95280000,0,948,286
1,22,710021920,710021920,788141920,78120000,0,729,295
2,22,802610273,802610273,901770273,99160000,0,918,443
3,22,975215409,975215409,1088335409,113120000,0,1151,326
4,22,1137620469,1137620469,1213620469,76000000,0,685,330
5,22,1182772528,1213620469,1314300469,100680000,30847941,1021,275
6,22,1526310067,1526310067,1608550067,82240000,0,756,344
7,22,1701412081,1701412081,1780052081,78640000,0,719,328
8,22,2133855755,2133855755,2205935755,72080000,0,605,392
9,22,2136143765,2205935755,2280495755,74560000,69791990,649,366
10,22,2333156462,2333156462,2438676462,105520000,0,1043,352
11,22,2409413940,2438676462,2531836462,93160000,29262522,867,395
12,22,2412845944,2531836462,2616276462,84440000,118990518,813,285
13,22,2826375429,2826375429,2915655429,89280000,0,866,300
14,22,3019602919,3019602919,3110082919,90480000,0,830,402
15,22,3037885629,3110082919,3175442919,65360000,72197290,546,342
16,22,3309963582,3309963582,3401683582,91720000,0,921,251
17,22,3405445325,3405445325,3482805325,77360000,0,679,376
