req_id,compute_sat_id,t_first_arrival_ns,t_last_arrival_ns,D_gather_ns,total_pkts_expected,total_pkts_received,src_node_id,L_in,L_out_expected,t_emit_ns
0,12,486547643,487691641,1143998,2,2,64,492,195,444487455
1,12,537706264,538850259,1143995,2,2,64,413,170,495646370
2,12,547033614,548177613,1143999,2,2,64,597,264,504973782
3,12,1090363919,1091507917,1143998,2,2,64,523,128,1048307191
4,12,1120091406,1121235403,1143997,2,2,64,398,240,1078034848
5,12,1654296831,1655440828,1143997,2,2,64,513,181,1612243299
6,12,1707911632,1709055629,1143997,2,2,64,623,214,1665159052
7,12,1940264958,1941408956,1143998,2,2,64,406,174,1898213034
8,12,2178991896,2180135894,1143998,2,2,64,570,210,2136941312
9,12,2188678310,2189822304,1143994,2,2,64,471,180,2146627773
10,12,2314383425,2315527422,1143997,2,2,64,375,149,2272333590
11,12,2331779691,2332923685,1143994,2,2,64,461,222,2289729951
12,12,2560583559,2561727556,1143997,2,2,64,572,163,2518535091
13,12,2986808811,2987952808,1143997,2,2,64,526,195,2944762698
14,12,3163283862,3164427860,1143998,2,2,64,468,238,3121238718
15,12,3227637025,3228781022,1143997,2,2,64,504,176,3185592231
16,12,3288673766,3289817761,1143995,2,2,64,494,185,3246629306
17,12,3495942890,3497086888,1143998,2,2,64,442,202,3453899569
