req_id,gs_node_id,response_pkt_id,total_response_pkts,t_response_emit_ns,t_response_recv_ns,network_return_delay_ns,src_compute_sat_id,L_in,L_out
0,61,0,1,569852480,637861186,68008706,22,948,286
1,61,0,1,788141920,856151145,68009225,22,729,295
2,61,0,2,901770273,969779769,68009496,22,918,443
2,61,1,2,901770273,970923779,69153506,22,918,443
3,61,0,1,1088335409,1156345355,68009946,22,1151,326
4,61,0,1,1213620469,1281630717,68010248,22,685,330
5,61,0,1,1314300469,1382310961,68010492,22,1021,275
6,61,0,1,1608550067,1676561275,68011208,22,756,344
7,61,0,1,1780052081,1848063712,68011631,22,719,328
8,61,0,2,2205935755,2273948439,68012684,22,605,392
8,61,1,2,2205935755,2275092444,69156689,22,605,392
9,61,0,2,2280495755,2348508619,68012864,22,649,366
9,61,1,2,2280495755,2349652624,69156869,22,649,366
10,61,0,2,2438676462,2506689721,68013259,22,1043,352
10,61,1,2,2438676462,2507833726,69157264,22,1043,352
11,61,0,2,2531836462,2599849951,68013489,22,867,395
11,61,1,2,2531836462,2600993961,69157499,22,867,395
12,61,0,1,2616276462,2684290164,68013702,22,813,285
13,61,0,1,2915655429,2983669883,68014454,22,866,300
14,61,0,2,3110082919,3178097865,68014946,22,830,402
14,61,1,2,3110082919,3179241870,69158951,22,830,402
15,61,0,1,3175442919,3243458030,68015111,22,546,342
16,61,0,1,3401683582,3469699268,68015686,22,921,251
17,61,0,2,3482805325,3550821218,68015893,22,679,376
17,61,1,2,3482805325,3551965228,69159903,22,679,376
